"Plot Title: 21476421"
"#","Date Time, GMT-06:00","Abs Pres, mm Hg (LGR S/N: 21476421, SEN S/N: 21476421)","Temp, °C (LGR S/N: 21476421, SEN S/N: 21476421)","Abs Pres Barom., mm Hg (LGR S/N: 21060405, SEN S/N: 21060405)","Water Level, meters (LGR S/N: 21476421)","Coupler Detached (LGR S/N: 21476421)","Coupler Attached (LGR S/N: 21476421)","Host Connected (LGR S/N: 21476421)","Stopped (LGR S/N: 21476421)","End Of File (LGR S/N: 21476421)"
89,04/26/24 06:00:00 PM,945.67,4.727,674.97,3.376,,,,,
90,04/26/24 07:00:00 PM,946.31,4.519,675.39,3.379,,,,,
91,04/26/24 08:00:00 PM,946.38,4.415,675.49,3.379,,,,,
92,04/26/24 09:00:00 PM,946.38,4.415,675.80,3.375,,,,,
93,04/26/24 10:00:00 PM,946.62,4.415,676.19,3.373,,,,,
94,04/26/24 11:00:00 PM,947.25,4.207,676.59,3.376,,,,,
95,04/27/24 12:00:00 AM,947.85,4.207,676.87,3.380,,,,,
96,04/27/24 01:00:00 AM,947.97,4.207,677.18,3.378,,,,,
97,04/27/24 02:00:00 AM,947.49,4.207,677.16,3.371,,,,,
98,04/27/24 03:00:00 AM,947.37,4.207,677.05,3.371,,,,,
99,04/27/24 04:00:00 AM,947.69,4.102,677.10,3.375,,,,,
100,04/27/24 05:00:00 AM,947.81,4.102,677.25,3.374,,,,,
101,04/27/24 06:00:00 AM,947.69,4.102,677.05,3.375,,,,,
102,04/27/24 07:00:00 AM,946.97,4.102,677.03,3.366,,,,,
103,04/27/24 08:00:00 AM,947.01,4.207,676.98,3.367,,,,,
104,04/27/24 09:00:00 AM,947.37,4.207,676.56,3.378,,,,,
105,04/27/24 10:00:00 AM,947.37,4.207,676.38,3.380,,,,,
106,04/27/24 11:00:00 AM,946.89,4.207,676.09,3.378,,,,,
107,04/27/24 12:00:00 PM,946.29,4.207,675.99,3.371,,,,,
108,04/27/24 01:00:00 PM,946.05,4.207,675.57,3.373,,,,,
109,04/27/24 02:00:00 PM,946.09,4.311,675.18,3.379,,,,,
110,04/27/24 03:00:00 PM,946.02,4.415,674.81,3.383,,,,,
111,04/27/24 04:00:00 PM,945.34,4.519,674.49,3.378,,,,,
112,04/27/24 05:00:00 PM,944.89,4.311,674.49,3.372,,,,,
113,04/27/24 06:00:00 PM,945.64,4.102,675.50,3.369,,,,,
114,04/27/24 07:00:00 PM,946.29,4.207,675.29,3.380,,,,,
115,04/27/24 08:00:00 PM,946.82,4.311,675.57,3.384,,,,,
116,04/27/24 09:00:00 PM,946.65,4.207,675.90,3.377,,,,,
117,04/27/24 10:00:00 PM,946.53,4.207,675.90,3.375,,,,,
118,04/27/24 11:00:00 PM,946.21,4.311,675.76,3.373,,,,,
119,04/28/24 12:00:00 AM,947.06,4.311,676.03,3.381,,,,,
120,04/28/24 01:00:00 AM,947.18,4.311,676.06,3.382,,,,,
121,04/28/24 02:00:00 AM,946.94,4.311,676.26,3.376,,,,,
122,04/28/24 03:00:00 AM,947.06,4.311,676.56,3.374,,,,,
123,04/28/24 04:00:00 AM,947.66,4.311,676.78,3.379,,,,,
124,04/28/24 05:00:00 AM,947.90,4.311,676.63,3.384,,,,,
125,04/28/24 06:00:00 AM,947.54,4.311,676.68,3.378,,,,,
126,04/28/24 07:00:00 AM,947.78,4.311,677.05,3.377,,,,,
127,04/28/24 08:00:00 AM,947.85,4.207,677.28,3.375,,,,,
128,04/28/24 09:00:00 AM,948.39,4.311,677.35,3.381,,,,,
129,04/28/24 10:00:00 AM,949.11,4.311,677.60,3.387,,,,,
130,04/28/24 11:00:00 AM,949.15,4.415,677.67,3.387,,,,,
131,04/28/24 12:00:00 PM,948.39,4.311,677.22,3.383,,,,,
132,04/28/24 01:00:00 PM,947.95,4.415,677.07,3.379,,,,,
133,04/28/24 02:00:00 PM,948.07,4.415,676.73,3.385,,,,,
134,04/28/24 03:00:00 PM,948.24,4.519,676.82,3.386,,,,,
135,04/28/24 04:00:00 PM,947.61,5.037,675.89,3.390,,,,,
136,04/28/24 05:00:00 PM,947.28,4.831,675.73,3.388,,,,,
137,04/28/24 06:00:00 PM,946.83,4.623,675.76,3.381,,,,,
138,04/28/24 07:00:00 PM,948.07,4.415,676.15,3.393,,,,,
139,04/28/24 08:00:00 PM,947.46,4.415,675.78,3.390,,,,,
140,04/28/24 09:00:00 PM,947.58,4.415,675.99,3.389,,,,,
141,04/28/24 10:00:00 PM,947.46,4.415,675.96,3.387,,,,,
142,04/28/24 11:00:00 PM,947.22,4.415,675.76,3.387,,,,,
143,04/29/24 12:00:00 AM,947.18,4.311,675.46,3.390,,,,,
144,04/29/24 01:00:00 AM,947.18,4.311,675.27,3.393,,,,,
145,04/29/24 02:00:00 AM,947.06,4.311,675.12,3.393,,,,,
146,04/29/24 03:00:00 AM,946.70,4.311,674.94,3.391,,,,,
147,04/29/24 04:00:00 AM,946.70,4.311,674.96,3.390,,,,,
148,04/29/24 05:00:00 AM,946.58,4.311,674.71,3.392,,,,,
149,04/29/24 06:00:00 AM,946.33,4.311,674.36,3.394,,,,,
150,04/29/24 07:00:00 AM,946.21,4.311,674.09,3.396,,,,,
151,04/29/24 08:00:00 AM,946.33,4.311,674.12,3.397,,,,,
152,04/29/24 09:00:00 AM,946.26,4.415,673.87,3.399,,,,,
153,04/29/24 10:00:00 AM,945.90,4.415,673.57,3.398,,,,,
154,04/29/24 11:00:00 AM,945.90,4.415,673.57,3.398,,,,,
155,04/29/24 12:00:00 PM,945.85,4.311,673.35,3.401,,,,,
156,04/29/24 01:00:00 PM,946.38,4.415,673.62,3.404,,,,,
157,04/29/24 02:00:00 PM,946.11,4.623,673.10,3.408,,,,,
158,04/29/24 03:00:00 PM,946.06,4.519,672.96,3.409,,,,,
159,04/29/24 04:00:00 PM,946.91,4.519,674.10,3.405,,,,,
160,04/29/24 05:00:00 PM,946.55,4.519,673.62,3.407,,,,,
161,04/29/24 06:00:00 PM,947.07,4.623,674.25,3.405,,,,,
162,04/29/24 07:00:00 PM,947.19,4.623,674.10,3.409,,,,,
163,04/29/24 08:00:00 PM,947.51,4.519,674.34,3.410,,,,,
164,04/29/24 09:00:00 PM,947.70,4.415,674.89,3.405,,,,,
165,04/29/24 10:00:00 PM,948.48,4.519,675.46,3.408,,,,,
166,04/29/24 11:00:00 PM,948.79,4.415,675.78,3.408,,,,,
167,04/30/24 12:00:00 AM,948.79,4.415,675.71,3.409,,,,,
168,04/30/24 01:00:00 AM,948.91,4.415,675.97,3.407,,,,,
169,04/30/24 02:00:00 AM,949.52,4.415,676.50,3.408,,,,,
170,04/30/24 03:00:00 AM,950.19,4.311,676.79,3.413,,,,,
171,04/30/24 04:00:00 AM,950.19,4.311,676.91,3.411,,,,,
172,04/30/24 05:00:00 AM,950.19,4.311,677.08,3.409,,,,,
173,04/30/24 06:00:00 AM,950.07,4.311,677.10,3.407,,,,,
174,04/30/24 07:00:00 AM,950.91,4.311,677.40,3.415,,,,,
175,04/30/24 08:00:00 AM,951.28,4.311,677.49,3.418,,,,,
176,04/30/24 09:00:00 AM,951.52,4.311,677.53,3.421,,,,,
177,04/30/24 10:00:00 AM,951.40,4.311,677.58,3.419,,,,,
178,04/30/24 11:00:00 AM,950.67,4.311,677.44,3.411,,,,,
179,04/30/24 12:00:00 PM,950.91,4.311,677.25,3.417,,,,,
180,04/30/24 01:00:00 PM,951.40,4.311,677.47,3.420,,,,,
181,04/30/24 02:00:00 PM,951.52,4.311,677.60,3.420,,,,,
182,04/30/24 03:00:00 PM,951.33,4.415,677.13,3.424,,,,,
183,04/30/24 04:00:00 PM,950.60,4.415,676.80,3.418,,,,,
184,04/30/24 05:00:00 PM,950.45,4.623,676.23,3.424,,,,,
185,04/30/24 06:00:00 PM,950.33,4.623,676.15,3.424,,,,,
186,04/30/24 07:00:00 PM,950.28,4.519,676.31,3.421,,,,,
187,04/30/24 08:00:00 PM,950.36,4.415,676.48,3.420,,,,,
188,04/30/24 09:00:00 PM,950.60,4.415,676.86,3.418,,,,,
189,04/30/24 10:00:00 PM,950.97,4.415,677.22,3.418,,,,,
190,04/30/24 11:00:00 PM,950.84,4.415,677.29,3.415,,,,,
191,05/01/24 12:00:00 AM,950.84,4.415,677.28,3.415,,,,,
192,05/01/24 01:00:00 AM,950.91,4.311,677.28,3.416,,,,,
193,05/01/24 02:00:00 AM,950.91,4.311,677.57,3.412,,,,,
194,05/01/24 03:00:00 AM,950.79,4.311,677.47,3.412,,,,,
195,05/01/24 04:00:00 AM,950.91,4.311,677.45,3.414,,,,,
196,05/01/24 05:00:00 AM,951.28,4.311,677.70,3.415,,,,,
197,05/01/24 06:00:00 AM,951.52,4.311,677.97,3.415,,,,,
198,05/01/24 07:00:00 AM,951.52,4.311,677.99,3.415,,,,,
199,05/01/24 08:00:00 AM,951.40,4.311,678.09,3.412,,,,,
200,05/01/24 09:00:00 AM,951.28,4.311,677.71,3.415,,,,,
201,05/01/24 10:00:00 AM,951.16,4.311,677.62,3.415,,,,,
202,05/01/24 11:00:00 AM,951.16,4.311,677.40,3.418,,,,,
203,05/01/24 12:00:00 PM,951.21,4.415,677.46,3.418,,,,,
204,05/01/24 01:00:00 PM,950.84,4.415,676.95,3.420,,,,,
205,05/01/24 02:00:00 PM,950.52,4.519,676.78,3.418,,,,,
206,05/01/24 03:00:00 PM,950.16,4.519,676.33,3.419,,,,,
207,05/01/24 04:00:00 PM,950.43,4.311,676.65,3.418,,,,,
208,05/01/24 05:00:00 PM,949.88,4.415,676.65,3.411,,,,,
209,05/01/24 06:00:00 PM,951.09,4.415,676.90,3.424,,,,,
210,05/01/24 07:00:00 PM,950.67,4.311,676.98,3.417,,,,,
211,05/01/24 08:00:00 PM,950.55,4.311,677.22,3.412,,,,,
212,05/01/24 09:00:00 PM,950.67,4.311,677.13,3.415,,,,,
213,05/01/24 10:00:00 PM,951.16,4.311,677.61,3.415,,,,,
214,05/01/24 11:00:00 PM,951.16,4.311,677.46,3.417,,,,,
215,05/02/24 12:00:00 AM,951.16,4.311,677.54,3.416,,,,,
216,05/02/24 01:00:00 AM,951.40,4.311,677.58,3.419,,,,,
217,05/02/24 02:00:00 AM,951.64,4.311,677.93,3.417,,,,,
218,05/02/24 03:00:00 AM,951.64,4.311,678.09,3.415,,,,,
219,05/02/24 04:00:00 AM,951.52,4.311,677.94,3.416,,,,,
220,05/02/24 05:00:00 AM,951.52,4.311,677.94,3.416,,,,,
221,05/02/24 06:00:00 AM,951.40,4.311,678.04,3.412,,,,,
222,05/02/24 07:00:00 AM,951.76,4.311,678.26,3.414,,,,,
223,05/02/24 08:00:00 AM,952.24,4.311,678.45,3.418,,,,,
224,05/02/24 09:00:00 AM,952.41,4.415,678.55,3.419,,,,,
225,05/02/24 10:00:00 AM,952.41,4.415,678.74,3.417,,,,,
226,05/02/24 11:00:00 AM,952.58,4.519,678.79,3.418,,,,,
227,05/02/24 12:00:00 PM,952.46,4.519,678.77,3.417,,,,,
228,05/02/24 01:00:00 PM,952.38,4.623,678.62,3.418,,,,,
229,05/02/24 02:00:00 PM,952.31,4.727,678.30,3.421,,,,,
230,05/02/24 03:00:00 PM,952.14,4.623,678.34,3.418,,,,,
231,05/02/24 04:00:00 PM,951.99,4.831,678.28,3.417,,,,,
232,05/02/24 05:00:00 PM,951.79,4.934,678.09,3.417,,,,,
233,05/02/24 06:00:00 PM,951.87,4.831,678.10,3.418,,,,,
234,05/02/24 07:00:00 PM,952.19,4.727,678.54,3.417,,,,,
235,05/02/24 08:00:00 PM,952.43,4.727,678.69,3.418,,,,,
236,05/02/24 09:00:00 PM,952.82,4.519,679.32,3.414,,,,,
237,05/02/24 10:00:00 PM,952.89,4.415,679.47,3.413,,,,,
238,05/02/24 11:00:00 PM,953.01,4.415,679.59,3.413,,,,,
239,05/03/24 12:00:00 AM,953.25,4.415,679.96,3.412,,,,,
240,05/03/24 01:00:00 AM,953.25,4.415,680.13,3.409,,,,,
241,05/03/24 02:00:00 AM,953.61,4.415,680.25,3.413,,,,,
242,05/03/24 03:00:00 AM,953.45,4.311,680.54,3.406,,,,,
243,05/03/24 04:00:00 AM,953.33,4.311,680.47,3.406,,,,,
244,05/03/24 05:00:00 AM,953.45,4.311,680.55,3.406,,,,,
245,05/03/24 06:00:00 AM,953.81,4.311,680.71,3.409,,,,,
246,05/03/24 07:00:00 AM,954.18,4.311,681.11,3.409,,,,,
247,05/03/24 08:00:00 AM,954.66,4.311,681.36,3.412,,,,,
248,05/03/24 09:00:00 AM,954.42,4.311,681.18,3.411,,,,,
249,05/03/24 10:00:00 AM,953.98,4.415,681.03,3.407,,,,,
250,05/03/24 11:00:00 AM,953.61,4.415,680.73,3.406,,,,,
251,05/03/24 12:00:00 PM,953.86,4.415,680.43,3.413,,,,,
252,05/03/24 01:00:00 PM,953.54,4.519,680.11,3.413,,,,,
253,05/03/24 02:00:00 PM,952.79,4.727,679.77,3.408,,,,,
254,05/03/24 03:00:00 PM,952.15,4.934,679.41,3.404,,,,,
255,05/03/24 04:00:00 PM,951.91,4.934,679.29,3.403,,,,,
256,05/03/24 05:00:00 PM,951.87,4.831,678.90,3.407,,,,,
257,05/03/24 06:00:00 PM,951.96,5.037,678.75,3.411,,,,,
258,05/03/24 07:00:00 PM,951.63,4.831,678.71,3.407,,,,,
259,05/03/24 08:00:00 PM,950.82,4.623,678.41,3.400,,,,,
260,05/03/24 09:00:00 PM,950.94,4.623,678.36,3.402,,,,,
261,05/03/24 10:00:00 PM,951.25,4.519,678.50,3.404,,,,,
262,05/03/24 11:00:00 PM,951.33,4.415,678.52,3.405,,,,,
263,05/04/24 12:00:00 AM,950.97,4.415,678.69,3.398,,,,,
264,05/04/24 01:00:00 AM,950.89,4.519,678.82,3.395,,,,,
265,05/04/24 02:00:00 AM,950.64,4.519,678.61,3.394,,,,,
266,05/04/24 03:00:00 AM,950.64,4.519,678.30,3.399,,,,,
267,05/04/24 04:00:00 AM,950.48,4.415,678.06,3.400,,,,,
268,05/04/24 05:00:00 AM,950.36,4.415,678.15,3.397,,,,,
269,05/04/24 06:00:00 AM,949.76,4.415,677.99,3.391,,,,,
270,05/04/24 07:00:00 AM,949.76,4.415,677.75,3.394,,,,,
271,05/04/24 08:00:00 AM,949.76,4.415,677.49,3.398,,,,,
272,05/04/24 09:00:00 AM,949.27,4.415,676.80,3.400,,,,,
273,05/04/24 10:00:00 AM,948.60,4.519,676.08,3.401,,,,,
274,05/04/24 11:00:00 AM,947.34,4.415,675.21,3.396,,,,,
275,05/04/24 12:00:00 PM,946.56,4.831,674.58,3.394,,,,,
276,05/04/24 01:00:00 PM,945.55,4.727,673.45,3.395,,,,,
277,05/04/24 02:00:00 PM,945.16,4.934,672.44,3.404,,,,,
278,05/04/24 03:00:00 PM,944.19,5.757,671.82,3.399,,,,,
279,05/04/24 04:00:00 PM,943.26,5.860,671.43,3.392,,,,,
280,05/04/24 05:00:00 PM,942.69,5.655,671.03,3.390,,,,,
281,05/04/24 06:00:00 PM,942.69,5.347,670.57,3.396,,,,,
282,05/04/24 07:00:00 PM,942.63,4.934,670.55,3.395,,,,,
283,05/04/24 08:00:00 PM,942.22,4.831,670.38,3.392,,,,,
284,05/04/24 09:00:00 PM,941.84,4.519,670.41,3.386,,,,,
285,05/04/24 10:00:00 PM,941.80,4.415,670.18,3.389,,,,,
286,05/04/24 11:00:00 PM,941.87,4.311,670.03,3.392,,,,,
287,05/05/24 12:00:00 AM,941.51,4.311,669.32,3.397,,,,,
288,05/05/24 01:00:00 AM,940.91,4.311,669.03,3.392,,,,,
289,05/05/24 02:00:00 AM,940.31,4.311,668.48,3.392,,,,,
290,05/05/24 03:00:00 AM,939.82,4.311,668.34,3.387,,,,,
291,05/05/24 04:00:00 AM,940.07,4.311,667.93,3.396,,,,,
292,05/05/24 05:00:00 AM,940.07,4.311,667.95,3.396,,,,,
293,05/05/24 06:00:00 AM,939.77,4.207,668.18,3.389,,,,,
294,05/05/24 07:00:00 AM,939.22,4.311,668.00,3.383,,,,,
295,05/05/24 08:00:00 AM,939.22,4.311,667.95,3.384,,,,,
296,05/05/24 09:00:00 AM,939.95,4.311,668.22,3.390,,,,,
297,05/05/24 10:00:00 AM,939.95,4.311,668.17,3.391,,,,,
298,05/05/24 11:00:00 AM,939.92,4.519,668.26,3.389,,,,,
299,05/05/24 12:00:00 PM,939.31,4.519,668.00,3.385,,,,,
300,05/05/24 01:00:00 PM,939.31,4.519,668.27,3.381,,,,,
301,05/05/24 02:00:00 PM,939.32,4.831,668.00,3.385,,,,,
302,05/05/24 03:00:00 PM,939.44,4.831,667.64,3.391,,,,,
303,05/05/24 04:00:00 PM,939.04,4.727,667.47,3.388,,,,,
304,05/05/24 05:00:00 PM,938.56,4.727,667.25,3.385,,,,,
305,05/05/24 06:00:00 PM,938.40,4.934,667.34,3.381,,,,,
306,05/05/24 07:00:00 PM,938.89,4.934,667.53,3.385,,,,,
307,05/05/24 08:00:00 PM,939.20,4.831,667.55,3.389,,,,,
308,05/05/24 09:00:00 PM,939.32,4.831,667.56,3.391,,,,,
309,05/05/24 10:00:00 PM,939.37,4.934,668.04,3.385,,,,,
310,05/05/24 11:00:00 PM,939.32,4.831,668.12,3.383,,,,,
311,05/06/24 12:00:00 AM,939.47,4.623,667.85,3.389,,,,,
312,05/06/24 01:00:00 AM,939.71,4.623,667.91,3.391,,,,,
313,05/06/24 02:00:00 AM,939.19,4.519,667.79,3.386,,,,,
314,05/06/24 03:00:00 AM,939.35,4.623,668.32,3.381,,,,,
315,05/06/24 04:00:00 AM,940.13,4.727,668.54,3.388,,,,,
316,05/06/24 05:00:00 AM,940.61,4.727,668.77,3.392,,,,,
317,05/06/24 06:00:00 AM,940.73,4.727,669.02,3.390,,,,,
318,05/06/24 07:00:00 AM,941.04,4.623,669.67,3.385,,,,,
319,05/06/24 08:00:00 AM,941.16,4.623,670.05,3.382,,,,,
320,05/06/24 09:00:00 AM,942.17,4.727,670.41,3.391,,,,,
321,05/06/24 10:00:00 AM,942.66,4.727,670.86,3.391,,,,,
322,05/06/24 11:00:00 AM,942.46,4.831,671.19,3.384,,,,,
323,05/06/24 12:00:00 PM,942.22,4.831,671.11,3.382,,,,,
324,05/06/24 01:00:00 PM,942.34,4.831,671.06,3.384,,,,,
325,05/06/24 02:00:00 PM,943.43,4.831,671.28,3.396,,,,,
326,05/06/24 03:00:00 PM,943.47,4.934,671.57,3.393,,,,,
327,05/06/24 04:00:00 PM,943.35,4.934,671.24,3.396,,,,,
328,05/06/24 05:00:00 PM,942.87,4.934,670.92,3.393,,,,,
329,05/06/24 06:00:00 PM,942.70,4.831,670.57,3.396,,,,,
330,05/06/24 07:00:00 PM,942.82,4.831,670.70,3.396,,,,,
331,05/06/24 08:00:00 PM,943.06,4.831,670.62,3.400,,,,,
332,05/06/24 09:00:00 PM,944.03,4.831,670.73,3.412,,,,,
333,05/06/24 10:00:00 PM,944.27,4.831,671.11,3.410,,,,,
334,05/06/24 11:00:00 PM,944.27,4.831,671.16,3.409,,,,,
335,05/07/24 12:00:00 AM,944.39,4.831,671.01,3.413,,,,,
336,05/07/24 01:00:00 AM,944.51,4.831,670.96,3.415,,,,,
337,05/07/24 02:00:00 AM,944.27,4.831,670.86,3.413,,,,,
338,05/07/24 03:00:00 AM,944.46,4.727,671.13,3.412,,,,,
339,05/07/24 04:00:00 AM,944.34,4.727,671.04,3.412,,,,,
340,05/07/24 05:00:00 AM,944.22,4.727,671.28,3.407,,,,,
341,05/07/24 06:00:00 AM,944.34,4.727,671.39,3.407,,,,,
342,05/07/24 07:00:00 AM,944.95,4.727,671.51,3.414,,,,,
343,05/07/24 08:00:00 AM,945.07,4.727,671.58,3.414,,,,,
344,05/07/24 09:00:00 AM,945.19,4.727,671.79,3.413,,,,,
345,05/07/24 10:00:00 AM,945.43,4.727,671.73,3.417,,,,,
346,05/07/24 11:00:00 AM,945.19,4.727,671.91,3.412,,,,,
347,05/07/24 12:00:00 PM,945.79,4.727,671.98,3.419,,,,,
348,05/07/24 01:00:00 PM,946.15,4.727,672.60,3.415,,,,,
349,05/07/24 02:00:00 PM,946.64,4.727,672.81,3.419,,,,,
350,05/07/24 03:00:00 PM,947.24,4.727,673.42,3.419,,,,,
351,05/07/24 04:00:00 PM,948.13,4.831,673.87,3.425,,,,,
352,05/07/24 05:00:00 PM,948.33,4.727,674.17,3.423,,,,,
353,05/07/24 06:00:00 PM,949.05,4.727,674.61,3.427,,,,,
354,05/07/24 07:00:00 PM,950.01,4.727,675.06,3.434,,,,,
355,05/07/24 08:00:00 PM,950.37,4.727,675.44,3.434,,,,,
356,05/07/24 09:00:00 PM,950.86,4.727,676.01,3.433,,,,,
