"Plot Title:  21567199"
"#","Date Time, GMT-06:00","Abs Pres, mm Hg (LGR S/N: 21567199, SEN S/N: 21567199)","Temp, °C (LGR S/N: 21567199, SEN S/N: 21567199)","Water Level, meters (LGR S/N: 21567199)","Coupler Detached (LGR S/N: 21567199)","Coupler Attached (LGR S/N: 21567199)","Host Connected (LGR S/N: 21567199)","Stopped (LGR S/N: 21567199)","End Of File (LGR S/N: 21567199)"
32,04/24/24 11:21:56 AM,,,,Logged,,,,
33,04/24/24 12:00:00 PM,730.32,4.623,0.975,,,,,
34,04/24/24 01:00:00 PM,729.50,4.519,0.964,,,,,
35,04/24/24 02:00:00 PM,728.98,4.519,0.957,,,,,
36,04/24/24 03:00:00 PM,728.11,4.311,0.945,,,,,
37,04/24/24 04:00:00 PM,727.35,4.311,0.935,,,,,
38,04/24/24 05:00:00 PM,727.29,4.207,0.934,,,,,
39,04/24/24 06:00:00 PM,727.49,4.102,0.936,,,,,
40,04/24/24 07:00:00 PM,727.69,3.998,0.939,,,,,
41,04/24/24 08:00:00 PM,727.95,3.998,0.943,,,,,
42,04/24/24 09:00:00 PM,727.95,3.998,0.943,,,,,
43,04/24/24 10:00:00 PM,728.20,3.998,0.946,,,,,
44,04/24/24 11:00:00 PM,728.41,3.893,0.949,,,,,
45,04/25/24 12:00:00 AM,728.92,3.893,0.956,,,,,
46,04/25/24 01:00:00 AM,729.17,3.893,0.959,,,,,
47,04/25/24 02:00:00 AM,728.92,3.893,0.956,,,,,
48,04/25/24 03:00:00 AM,728.66,3.893,0.952,,,,,
49,04/25/24 04:00:00 AM,729.17,3.893,0.959,,,,,
50,04/25/24 05:00:00 AM,729.17,3.893,0.959,,,,,
51,04/25/24 06:00:00 AM,728.92,3.893,0.956,,,,,
52,04/25/24 07:00:00 AM,728.66,3.893,0.952,,,,,
53,04/25/24 08:00:00 AM,728.15,3.893,0.945,,,,,
54,04/25/24 09:00:00 AM,728.20,3.998,0.946,,,,,
55,04/25/24 10:00:00 AM,728.71,3.998,0.953,,,,,
56,04/25/24 11:00:00 AM,727.95,3.998,0.943,,,,,
57,04/25/24 12:00:00 PM,727.49,4.102,0.936,,,,,
58,04/25/24 01:00:00 PM,727.24,4.102,0.933,,,,,
59,04/25/24 02:00:00 PM,727.18,3.998,0.932,,,,,
60,04/25/24 03:00:00 PM,726.73,4.102,0.926,,,,,
61,04/25/24 04:00:00 PM,726.22,4.102,0.919,,,,,
62,04/25/24 05:00:00 PM,725.96,4.102,0.916,,,,,
63,04/25/24 06:00:00 PM,725.45,4.102,0.909,,,,,
64,04/25/24 07:00:00 PM,725.65,3.998,0.911,,,,,
65,04/25/24 08:00:00 PM,725.90,3.998,0.915,,,,,
66,04/25/24 09:00:00 PM,725.90,3.998,0.915,,,,,
67,04/25/24 10:00:00 PM,725.85,3.893,0.914,,,,,
68,04/25/24 11:00:00 PM,726.10,3.893,0.917,,,,,
69,04/26/24 12:00:00 AM,726.36,3.893,0.921,,,,,
70,04/26/24 01:00:00 AM,726.61,3.893,0.924,,,,,
71,04/26/24 02:00:00 AM,726.36,3.893,0.921,,,,,
72,04/26/24 03:00:00 AM,726.10,3.893,0.917,,,,,
73,04/26/24 04:00:00 AM,726.42,3.998,0.922,,,,,
74,04/26/24 05:00:00 AM,727.18,3.998,0.932,,,,,
75,04/26/24 06:00:00 AM,727.95,3.998,0.943,,,,,
76,04/26/24 07:00:00 AM,727.95,3.998,0.943,,,,,
77,04/26/24 08:00:00 AM,727.49,4.102,0.936,,,,,
78,04/26/24 09:00:00 AM,728.00,4.102,0.943,,,,,
79,04/26/24 10:00:00 AM,728.05,4.207,0.944,,,,,
80,04/26/24 11:00:00 AM,728.62,4.311,0.952,,,,,
81,04/26/24 12:00:00 PM,728.22,4.519,0.946,,,,,
82,04/26/24 01:00:00 PM,728.08,4.727,0.945,,,,,
83,04/26/24 02:00:00 PM,728.38,4.831,0.949,,,,,
84,04/26/24 03:00:00 PM,728.23,5.037,0.947,,,,,
85,04/26/24 04:00:00 PM,728.29,5.141,0.948,,,,,
86,04/26/24 05:00:00 PM,728.80,5.141,0.954,,,,,
87,04/26/24 06:00:00 PM,728.64,4.831,0.952,,,,,
88,04/26/24 07:00:00 PM,728.79,4.623,0.954,,,,,
89,04/26/24 08:00:00 PM,729.10,4.727,0.958,,,,,
90,04/26/24 09:00:00 PM,729.81,4.623,0.968,,,,,
91,04/26/24 10:00:00 PM,729.76,4.519,0.967,,,,,
92,04/26/24 11:00:00 PM,729.95,4.415,0.970,,,,,
93,04/27/24 12:00:00 AM,730.16,4.311,0.973,,,,,
94,04/27/24 01:00:00 AM,730.67,4.311,0.980,,,,,
95,04/27/24 02:00:00 AM,731.18,4.311,0.987,,,,,
96,04/27/24 03:00:00 AM,730.61,4.207,0.979,,,,,
97,04/27/24 04:00:00 AM,730.36,4.207,0.975,,,,,
98,04/27/24 05:00:00 AM,730.31,4.102,0.975,,,,,
99,04/27/24 06:00:00 AM,730.56,4.102,0.978,,,,,
100,04/27/24 07:00:00 AM,730.56,4.102,0.978,,,,,
101,04/27/24 08:00:00 AM,730.31,4.102,0.975,,,,,
102,04/27/24 09:00:00 AM,729.80,4.102,0.968,,,,,
103,04/27/24 10:00:00 AM,729.59,4.207,0.965,,,,,
104,04/27/24 11:00:00 AM,730.10,4.207,0.972,,,,,
105,04/27/24 12:00:00 PM,730.16,4.311,0.973,,,,,
106,04/27/24 01:00:00 PM,729.13,4.311,0.959,,,,,
107,04/27/24 02:00:00 PM,728.68,4.415,0.952,,,,,
108,04/27/24 03:00:00 PM,728.47,4.519,0.950,,,,,
109,04/27/24 04:00:00 PM,728.53,4.623,0.951,,,,,
110,04/27/24 05:00:00 PM,728.73,4.519,0.953,,,,,
111,04/27/24 06:00:00 PM,729.13,4.311,0.959,,,,,
112,04/27/24 07:00:00 PM,728.88,4.311,0.955,,,,,
113,04/27/24 08:00:00 PM,729.34,4.207,0.962,,,,,
114,04/27/24 09:00:00 PM,729.85,4.207,0.968,,,,,
115,04/27/24 10:00:00 PM,729.80,4.102,0.968,,,,,
116,04/27/24 11:00:00 PM,729.80,4.102,0.968,,,,,
117,04/28/24 12:00:00 AM,729.54,4.102,0.964,,,,,
118,04/28/24 01:00:00 AM,730.31,4.102,0.975,,,,,
119,04/28/24 02:00:00 AM,730.31,4.102,0.975,,,,,
120,04/28/24 03:00:00 AM,730.56,4.102,0.978,,,,,
121,04/28/24 04:00:00 AM,730.56,4.102,0.978,,,,,
122,04/28/24 05:00:00 AM,730.82,4.102,0.982,,,,,
123,04/28/24 06:00:00 AM,731.07,4.102,0.985,,,,,
124,04/28/24 07:00:00 AM,731.27,3.998,0.988,,,,,
125,04/28/24 08:00:00 AM,731.33,4.102,0.988,,,,,
126,04/28/24 09:00:00 AM,731.58,4.102,0.992,,,,,
127,04/28/24 10:00:00 AM,731.58,4.102,0.992,,,,,
128,04/28/24 11:00:00 AM,732.09,4.102,0.999,,,,,
129,04/28/24 12:00:00 PM,732.09,4.102,0.999,,,,,
130,04/28/24 01:00:00 PM,731.33,4.102,0.988,,,,,
131,04/28/24 02:00:00 PM,731.12,4.207,0.986,,,,,
132,04/28/24 03:00:00 PM,731.18,4.311,0.987,,,,,
133,04/28/24 04:00:00 PM,731.24,4.415,0.987,,,,,
134,04/28/24 05:00:00 PM,731.24,4.415,0.987,,,,,
135,04/28/24 06:00:00 PM,730.98,4.415,0.984,,,,,
136,04/28/24 07:00:00 PM,730.67,4.311,0.980,,,,,
137,04/28/24 08:00:00 PM,730.67,4.311,0.980,,,,,
138,04/28/24 09:00:00 PM,730.87,4.207,0.982,,,,,
139,04/28/24 10:00:00 PM,730.87,4.207,0.982,,,,,
140,04/28/24 11:00:00 PM,730.56,4.102,0.978,,,,,
141,04/29/24 12:00:00 AM,730.31,4.102,0.975,,,,,
142,04/29/24 01:00:00 AM,730.31,4.102,0.975,,,,,
143,04/29/24 02:00:00 AM,729.74,3.998,0.967,,,,,
144,04/29/24 03:00:00 AM,729.74,3.998,0.967,,,,,
145,04/29/24 04:00:00 AM,729.48,3.998,0.963,,,,,
146,04/29/24 05:00:00 AM,729.48,3.998,0.963,,,,,
147,04/29/24 06:00:00 AM,729.22,3.998,0.960,,,,,
148,04/29/24 07:00:00 AM,728.71,3.998,0.953,,,,,
149,04/29/24 08:00:00 AM,729.22,3.998,0.960,,,,,
150,04/29/24 09:00:00 AM,729.28,4.102,0.961,,,,,
151,04/29/24 10:00:00 AM,729.02,4.102,0.957,,,,,
152,04/29/24 11:00:00 AM,729.02,4.102,0.957,,,,,
153,04/29/24 12:00:00 PM,728.57,4.207,0.951,,,,,
154,04/29/24 01:00:00 PM,728.83,4.207,0.955,,,,,
155,04/29/24 02:00:00 PM,728.57,4.207,0.951,,,,,
156,04/29/24 03:00:00 PM,728.57,4.207,0.951,,,,,
157,04/29/24 04:00:00 PM,729.59,4.207,0.965,,,,,
158,04/29/24 05:00:00 PM,729.02,4.102,0.957,,,,,
159,04/29/24 06:00:00 PM,729.34,4.207,0.962,,,,,
160,04/29/24 07:00:00 PM,729.28,4.102,0.961,,,,,
161,04/29/24 08:00:00 PM,729.80,4.102,0.968,,,,,
162,04/29/24 09:00:00 PM,729.80,4.102,0.968,,,,,
163,04/29/24 10:00:00 PM,730.50,3.998,0.977,,,,,
164,04/29/24 11:00:00 PM,731.02,3.998,0.985,,,,,
165,04/30/24 12:00:00 AM,731.78,3.998,0.995,,,,,
166,04/30/24 01:00:00 AM,731.53,3.998,0.991,,,,,
167,04/30/24 02:00:00 AM,731.78,3.998,0.995,,,,,
168,04/30/24 03:00:00 AM,732.29,3.998,1.002,,,,,
169,04/30/24 04:00:00 AM,732.55,3.998,1.005,,,,,
170,04/30/24 05:00:00 AM,732.80,3.998,1.009,,,,,
171,04/30/24 06:00:00 AM,732.80,3.998,1.009,,,,,
172,04/30/24 07:00:00 AM,732.55,3.998,1.005,,,,,
173,04/30/24 08:00:00 AM,733.06,3.998,1.012,,,,,
174,04/30/24 09:00:00 AM,732.80,3.998,1.009,,,,,
175,04/30/24 10:00:00 AM,733.31,3.998,1.016,,,,,
176,04/30/24 11:00:00 AM,732.86,4.102,1.009,,,,,
177,04/30/24 12:00:00 PM,732.86,4.102,1.009,,,,,
178,04/30/24 01:00:00 PM,732.86,4.102,1.009,,,,,
179,04/30/24 02:00:00 PM,732.86,4.102,1.009,,,,,
180,04/30/24 03:00:00 PM,732.86,4.102,1.009,,,,,
181,04/30/24 04:00:00 PM,732.66,4.207,1.007,,,,,
182,04/30/24 05:00:00 PM,732.46,4.311,1.004,,,,,
183,04/30/24 06:00:00 PM,731.89,4.207,0.996,,,,,
184,04/30/24 07:00:00 PM,731.84,4.102,0.995,,,,,
185,04/30/24 08:00:00 PM,732.04,3.998,0.998,,,,,
186,04/30/24 09:00:00 PM,732.29,3.998,1.002,,,,,
187,04/30/24 10:00:00 PM,732.55,3.998,1.005,,,,,
188,04/30/24 11:00:00 PM,732.80,3.998,1.009,,,,,
189,05/01/24 12:00:00 AM,732.80,3.998,1.009,,,,,
190,05/01/24 01:00:00 AM,732.80,3.998,1.009,,,,,
191,05/01/24 02:00:00 AM,732.80,3.998,1.009,,,,,
192,05/01/24 03:00:00 AM,732.29,3.998,1.002,,,,,
193,05/01/24 04:00:00 AM,732.80,3.998,1.009,,,,,
194,05/01/24 05:00:00 AM,733.06,3.998,1.012,,,,,
195,05/01/24 06:00:00 AM,733.31,3.998,1.016,,,,,
196,05/01/24 07:00:00 AM,733.06,3.998,1.012,,,,,
197,05/01/24 08:00:00 AM,733.57,3.998,1.019,,,,,
198,05/01/24 09:00:00 AM,733.06,3.998,1.012,,,,,
199,05/01/24 10:00:00 AM,733.37,4.102,1.016,,,,,
200,05/01/24 11:00:00 AM,732.86,4.102,1.009,,,,,
201,05/01/24 12:00:00 PM,733.11,4.102,1.013,,,,,
202,05/01/24 01:00:00 PM,732.86,4.102,1.009,,,,,
203,05/01/24 02:00:00 PM,732.66,4.207,1.007,,,,,
204,05/01/24 03:00:00 PM,731.95,4.311,0.997,,,,,
205,05/01/24 04:00:00 PM,732.14,4.207,1.000,,,,,
206,05/01/24 05:00:00 PM,732.60,4.102,1.006,,,,,
207,05/01/24 06:00:00 PM,732.35,4.102,1.002,,,,,
208,05/01/24 07:00:00 PM,732.60,4.102,1.006,,,,,
209,05/01/24 08:00:00 PM,732.86,4.102,1.009,,,,,
210,05/01/24 09:00:00 PM,732.55,3.998,1.005,,,,,
211,05/01/24 10:00:00 PM,732.80,3.998,1.009,,,,,
212,05/01/24 11:00:00 PM,733.11,4.102,1.013,,,,,
213,05/02/24 12:00:00 AM,733.37,4.102,1.016,,,,,
214,05/02/24 01:00:00 AM,732.86,4.102,1.009,,,,,
215,05/02/24 02:00:00 AM,733.37,4.102,1.016,,,,,
216,05/02/24 03:00:00 AM,733.11,4.102,1.013,,,,,
217,05/02/24 04:00:00 AM,732.86,4.102,1.009,,,,,
218,05/02/24 05:00:00 AM,733.37,4.102,1.016,,,,,
219,05/02/24 06:00:00 AM,733.37,4.102,1.016,,,,,
220,05/02/24 07:00:00 AM,733.62,4.102,1.020,,,,,
221,05/02/24 08:00:00 AM,733.62,4.102,1.020,,,,,
222,05/02/24 09:00:00 AM,734.14,4.102,1.027,,,,,
223,05/02/24 10:00:00 AM,734.45,4.207,1.031,,,,,
224,05/02/24 11:00:00 AM,734.19,4.207,1.027,,,,,
225,05/02/24 12:00:00 PM,734.50,4.311,1.032,,,,,
226,05/02/24 01:00:00 PM,734.36,4.519,1.030,,,,,
227,05/02/24 02:00:00 PM,734.36,4.519,1.030,,,,,
228,05/02/24 03:00:00 PM,733.95,4.727,1.024,,,,,
229,05/02/24 04:00:00 PM,733.70,4.727,1.021,,,,,
230,05/02/24 05:00:00 PM,733.70,4.727,1.021,,,,,
231,05/02/24 06:00:00 PM,734.00,4.831,1.025,,,,,
232,05/02/24 07:00:00 PM,734.21,4.727,1.028,,,,,
233,05/02/24 08:00:00 PM,734.46,4.727,1.031,,,,,
234,05/02/24 09:00:00 PM,734.97,4.727,1.038,,,,,
235,05/02/24 10:00:00 PM,734.97,4.727,1.038,,,,,
236,05/02/24 11:00:00 PM,735.38,4.519,1.044,,,,,
237,05/03/24 12:00:00 AM,735.63,4.519,1.047,,,,,
238,05/03/24 01:00:00 AM,735.38,4.519,1.044,,,,,
239,05/03/24 02:00:00 AM,735.32,4.415,1.043,,,,,
240,05/03/24 03:00:00 AM,735.58,4.415,1.046,,,,,
241,05/03/24 04:00:00 AM,735.52,4.311,1.045,,,,,
242,05/03/24 05:00:00 AM,735.78,4.311,1.049,,,,,
243,05/03/24 06:00:00 AM,735.47,4.207,1.045,,,,,
244,05/03/24 07:00:00 AM,735.72,4.207,1.048,,,,,
245,05/03/24 08:00:00 AM,736.49,4.207,1.059,,,,,
246,05/03/24 09:00:00 AM,736.80,4.311,1.063,,,,,
247,05/03/24 10:00:00 AM,736.85,4.415,1.064,,,,,
248,05/03/24 11:00:00 AM,735.83,4.415,1.050,,,,,
249,05/03/24 12:00:00 PM,735.68,4.623,1.048,,,,,
250,05/03/24 01:00:00 PM,734.52,4.831,1.032,,,,,
251,05/03/24 02:00:00 PM,734.88,5.037,1.037,,,,,
252,05/03/24 03:00:00 PM,734.37,5.037,1.030,,,,,
253,05/03/24 04:00:00 PM,734.17,5.141,1.027,,,,,
254,05/03/24 05:00:00 PM,733.09,5.037,1.013,,,,,
255,05/03/24 06:00:00 PM,733.49,4.831,1.018,,,,,
256,05/03/24 07:00:00 PM,733.70,4.727,1.021,,,,,
257,05/03/24 08:00:00 PM,733.13,4.623,1.013,,,,,
258,05/03/24 09:00:00 PM,732.62,4.623,1.006,,,,,
259,05/03/24 10:00:00 PM,732.82,4.519,1.009,,,,,
260,05/03/24 11:00:00 PM,733.07,4.519,1.013,,,,,
261,05/04/24 12:00:00 AM,733.02,4.415,1.012,,,,,
262,05/04/24 01:00:00 AM,733.02,4.415,1.012,,,,,
263,05/04/24 02:00:00 AM,733.02,4.415,1.012,,,,,
264,05/04/24 03:00:00 AM,732.26,4.415,1.001,,,,,
265,05/04/24 04:00:00 AM,731.95,4.311,0.997,,,,,
266,05/04/24 05:00:00 AM,732.20,4.311,1.001,,,,,
267,05/04/24 06:00:00 AM,732.20,4.311,1.001,,,,,
268,05/04/24 07:00:00 AM,731.44,4.311,0.990,,,,,
269,05/04/24 08:00:00 AM,731.18,4.311,0.987,,,,,
270,05/04/24 09:00:00 AM,730.67,4.311,0.980,,,,,
271,05/04/24 10:00:00 AM,730.22,4.415,0.974,,,,,
272,05/04/24 11:00:00 AM,729.76,4.519,0.967,,,,,
273,05/04/24 12:00:00 PM,728.59,4.727,0.952,,,,,
274,05/04/24 01:00:00 PM,727.16,4.934,0.932,,,,,
275,05/04/24 02:00:00 PM,726.55,5.244,0.924,,,,,
276,05/04/24 03:00:00 PM,726.15,5.450,0.919,,,,,
277,05/04/24 04:00:00 PM,725.49,5.655,0.910,,,,,
278,05/04/24 05:00:00 PM,725.14,5.962,0.905,,,,,
279,05/04/24 06:00:00 PM,724.42,6.064,0.895,,,,,
280,05/04/24 07:00:00 PM,724.11,5.962,0.891,,,,,
281,05/04/24 08:00:00 PM,724.57,5.860,0.897,,,,,
282,05/04/24 09:00:00 PM,724.52,5.757,0.896,,,,,
283,05/04/24 10:00:00 PM,724.21,5.655,0.892,,,,,
284,05/04/24 11:00:00 PM,723.59,5.450,0.884,,,,,
285,05/05/24 12:00:00 AM,723.28,5.347,0.880,,,,,
286,05/05/24 01:00:00 AM,723.23,5.244,0.879,,,,,
287,05/05/24 02:00:00 AM,722.67,5.141,0.871,,,,,
288,05/05/24 03:00:00 AM,722.36,5.037,0.867,,,,,
289,05/05/24 04:00:00 AM,721.59,5.037,0.856,,,,,
290,05/05/24 05:00:00 AM,721.84,5.037,0.860,,,,,
291,05/05/24 06:00:00 AM,722.36,5.037,0.867,,,,,
292,05/05/24 07:00:00 AM,722.11,5.037,0.863,,,,,
293,05/05/24 08:00:00 AM,721.84,5.037,0.860,,,,,
294,05/05/24 09:00:00 AM,721.59,5.037,0.856,,,,,
295,05/05/24 10:00:00 AM,721.84,5.037,0.860,,,,,
296,05/05/24 11:00:00 AM,722.62,5.037,0.871,,,,,
297,05/05/24 12:00:00 PM,722.36,5.037,0.867,,,,,
298,05/05/24 01:00:00 PM,721.84,5.037,0.860,,,,,
299,05/05/24 02:00:00 PM,721.45,5.244,0.855,,,,,
300,05/05/24 03:00:00 PM,721.24,5.347,0.852,,,,,
301,05/05/24 04:00:00 PM,720.93,5.244,0.848,,,,,
302,05/05/24 05:00:00 PM,720.93,5.244,0.848,,,,,
303,05/05/24 06:00:00 PM,720.42,5.244,0.841,,,,,
304,05/05/24 07:00:00 PM,720.37,5.141,0.840,,,,,
305,05/05/24 08:00:00 PM,720.82,5.037,0.846,,,,,
306,05/05/24 09:00:00 PM,721.33,5.037,0.853,,,,,
307,05/05/24 10:00:00 PM,721.59,5.037,0.856,,,,,
308,05/05/24 11:00:00 PM,721.59,5.037,0.856,,,,,
309,05/06/24 12:00:00 AM,721.03,4.934,0.849,,,,,
310,05/06/24 01:00:00 AM,721.03,4.934,0.849,,,,,
311,05/06/24 02:00:00 AM,721.28,4.934,0.852,,,,,
312,05/06/24 03:00:00 AM,721.28,4.934,0.852,,,,,
313,05/06/24 04:00:00 AM,721.28,4.934,0.852,,,,,
314,05/06/24 05:00:00 AM,721.74,4.831,0.858,,,,,
315,05/06/24 06:00:00 AM,722.76,4.831,0.872,,,,,
316,05/06/24 07:00:00 AM,723.02,4.831,0.876,,,,,
317,05/06/24 08:00:00 AM,723.28,4.831,0.879,,,,,
318,05/06/24 09:00:00 AM,723.53,4.831,0.883,,,,,
319,05/06/24 10:00:00 AM,723.99,4.727,0.889,,,,,
320,05/06/24 11:00:00 AM,724.75,4.727,0.899,,,,,
321,05/06/24 12:00:00 PM,725.01,4.727,0.903,,,,,
322,05/06/24 01:00:00 PM,724.50,4.727,0.896,,,,,
323,05/06/24 02:00:00 PM,725.26,4.727,0.906,,,,,
324,05/06/24 03:00:00 PM,725.01,4.727,0.903,,,,,
325,05/06/24 04:00:00 PM,725.06,4.831,0.903,,,,,
326,05/06/24 05:00:00 PM,724.50,4.727,0.896,,,,,
327,05/06/24 06:00:00 PM,723.99,4.727,0.889,,,,,
328,05/06/24 07:00:00 PM,723.93,4.623,0.888,,,,,
329,05/06/24 08:00:00 PM,724.13,4.519,0.891,,,,,
330,05/06/24 09:00:00 PM,724.90,4.519,0.901,,,,,
331,05/06/24 10:00:00 PM,724.84,4.415,0.900,,,,,
332,05/06/24 11:00:00 PM,724.59,4.415,0.897,,,,,
333,05/07/24 12:00:00 AM,724.33,4.415,0.894,,,,,
334,05/07/24 01:00:00 AM,724.84,4.415,0.900,,,,,
335,05/07/24 02:00:00 AM,725.05,4.311,0.903,,,,,
336,05/07/24 03:00:00 AM,725.05,4.311,0.903,,,,,
337,05/07/24 04:00:00 AM,724.79,4.311,0.900,,,,,
338,05/07/24 05:00:00 AM,724.79,4.311,0.900,,,,,
339,05/07/24 06:00:00 AM,725.05,4.311,0.903,,,,,
340,05/07/24 07:00:00 AM,725.56,4.311,0.910,,,,,
341,05/07/24 08:00:00 AM,725.30,4.311,0.907,,,,,
342,05/07/24 09:00:00 AM,725.81,4.311,0.913,,,,,
343,05/07/24 10:00:00 AM,726.07,4.311,0.917,,,,,
344,05/07/24 11:00:00 AM,726.07,4.311,0.917,,,,,
345,05/07/24 12:00:00 PM,726.32,4.311,0.920,,,,,
346,05/07/24 01:00:00 PM,727.09,4.311,0.931,,,,,
347,05/07/24 02:00:00 PM,727.35,4.311,0.935,,,,,
348,05/07/24 03:00:00 PM,727.86,4.311,0.942,,,,,
349,05/07/24 04:00:00 PM,728.57,4.207,0.951,,,,,
350,05/07/24 05:00:00 PM,729.08,4.207,0.958,,,,,
351,05/07/24 06:00:00 PM,729.59,4.207,0.965,,,,,
352,05/07/24 07:00:00 PM,729.85,4.207,0.968,,,,,
353,05/07/24 08:00:00 PM,730.05,4.102,0.971,,,,,
354,05/07/24 09:00:00 PM,731.33,4.102,0.988,,,,,
355,05/07/24 10:00:00 PM,731.84,4.102,0.995,,,,,
356,05/07/24 11:00:00 PM,732.09,4.102,0.999,,,,,
357,05/08/24 12:00:00 AM,732.66,4.207,1.007,,,,,
358,05/08/24 01:00:00 AM,733.17,4.207,1.014,,,,,
359,05/08/24 02:00:00 AM,733.99,4.311,1.025,,,,,
360,05/08/24 03:00:00 AM,734.19,4.207,1.027,,,,,
361,05/08/24 04:00:00 AM,734.96,4.207,1.038,,,,,
362,05/08/24 05:00:00 AM,735.72,4.207,1.048,,,,,
363,05/08/24 06:00:00 AM,735.98,4.207,1.052,,,,,
364,05/08/24 07:00:00 AM,737.26,4.207,1.069,,,,,
365,05/08/24 08:00:00 AM,737.77,4.207,1.076,,,,,
366,05/08/24 09:00:00 AM,738.02,4.207,1.080,,,,,
367,05/08/24 10:00:00 AM,738.59,4.311,1.087,,,,,
368,05/08/24 11:00:00 AM,739.26,4.623,1.097,,,,,
369,05/08/24 12:00:00 PM,740.65,4.831,1.116,,,,,
370,05/08/24 01:00:00 PM,740.45,4.934,1.113,,,,,
371,05/08/24 02:00:00 PM,740.04,5.141,1.107,,,,,
372,05/08/24 03:00:00 PM,740.61,5.244,1.115,,,,,
373,05/08/24 04:00:00 PM,741.17,5.347,1.123,,,,,
374,05/08/24 05:00:00 PM,741.32,5.141,1.125,,,,,
375,05/08/24 06:00:00 PM,741.21,4.934,1.123,,,,,
376,05/08/24 07:00:00 PM,741.41,4.831,1.126,,,,,
377,05/08/24 08:00:00 PM,741.41,4.831,1.126,,,,,
378,05/08/24 09:00:00 PM,742.43,4.831,1.140,,,,,
379,05/08/24 10:00:00 PM,742.38,4.727,1.139,,,,,
380,05/08/24 11:00:00 PM,742.13,4.727,1.136,,,,,
381,05/09/24 12:00:00 AM,743.15,4.727,1.149,,,,,
382,05/09/24 01:00:00 AM,743.66,4.727,1.156,,,,,
383,05/09/24 02:00:00 AM,743.60,4.623,1.155,,,,,
384,05/09/24 03:00:00 AM,743.86,4.623,1.159,,,,,
385,05/09/24 04:00:00 AM,744.11,4.623,1.163,,,,,
386,05/09/24 05:00:00 AM,744.37,4.623,1.166,,,,,
387,05/09/24 06:00:00 AM,744.62,4.623,1.170,,,,,
388,05/09/24 07:00:00 AM,745.34,4.519,1.179,,,,,
389,05/09/24 08:00:00 AM,745.85,4.519,1.186,,,,,
390,05/09/24 09:00:00 AM,745.91,4.623,1.187,,,,,
391,05/09/24 10:00:00 AM,745.45,4.727,1.181,,,,,
392,05/09/24 11:00:00 AM,744.99,4.831,1.174,,,,,
393,05/09/24 12:00:00 PM,745.04,4.934,1.175,,,,,
394,05/09/24 01:00:00 PM,744.33,5.037,1.166,,,,,
395,05/09/24 02:00:00 PM,744.39,5.141,1.166,,,,,
396,05/09/24 03:00:00 PM,743.89,5.655,1.160,,,,,
397,05/09/24 04:00:00 PM,743.75,6.370,1.158,,,,,
398,05/09/24 05:00:00 PM,743.50,6.877,1.155,,,,,
399,05/09/24 06:00:00 PM,743.24,6.877,1.152,,,,,
