Date,Site,Test,Parameter,Value,Units,Qualifier,Method,Start Depth,End Depth,SampleType,Volume,Notes
12/12/2007,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Nitrogen (Total),TN,1913.69,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,680.5,"QC: 20080424A Spikes: 101.322, 101.858, 104.490, 107.72 Reps: 94.634, 93.699; 94.705, 105.891; 541.384, 543.494; 99.62, 98.9 Knowns: 103.931, 100.000, 100.000, 100.000, 100.00;Glutamic acid digestion check standard=103%Glutamic acid digestion check standard=103%"
12/12/2007,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Phosphorus (Total),TP,6.001,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,680.5,"QC: 20080422B Spikes: 96.541, 91.713, 99.486, 100.28 Reps: 3.029, 3.066; 3.809, 3.474; 4.923, 4.886; 3.846, 3.80 Knowns: 97.368, 97.510, 98.934, 97.652, 96.85;"
01/02/2008,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Nitrogen (Total),TN,4041.98,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,771,"QC: 20080424A Spikes: 101.322, 101.858, 104.490, 107.72 Reps: 94.634, 93.699; 94.705, 105.891; 541.384, 543.494; 99.62, 98.9 Knowns: 103.931, 100.000, 100.000, 100.000, 100.00;Glutamic acid digestion check standard=103%Glutamic acid digestion check standard=103%"
01/02/2008,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Phosphorus (Total),TP,10.979,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,771,"QC: 20080422B Spikes: 96.541, 91.713, 99.486, 100.28 Reps: 3.029, 3.066; 3.809, 3.474; 4.923, 4.886; 3.846, 3.80 Knowns: 97.368, 97.510, 98.934, 97.652, 96.85;"
01/14/2008,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Nitrogen (Total),TN,438.826,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,1900,"No pH worksheet found;QC: 20080424A Spikes: 101.322, 101.858, 104.490, 107.72 Reps: 94.634, 93.699; 94.705, 105.891; 541.384, 543.494; 99.62, 98.9 Knowns: 103.931, 100.000, 100.000, 100.000, 100.00;Glutamic acid digestion check standard=103%Glutamic acid digestion check standard=103%"
01/14/2008,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Phosphorus (Total),TP,3.029,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,1900,"No pH worksheet found;QC: 20080422B Spikes: 96.541, 91.713, 99.486, 100.28 Reps: 3.029, 3.066; 3.809, 3.474; 4.923, 4.886; 3.846, 3.80 Knowns: 97.368, 97.510, 98.934, 97.652, 96.85;"
01/22/2008,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Nitrogen (Total),TN,764.465,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,800,"QC: 20080424A Spikes: 101.322, 101.858, 104.490, 107.72 Reps: 94.634, 93.699; 94.705, 105.891; 541.384, 543.494; 99.62, 98.9 Knowns: 103.931, 100.000, 100.000, 100.000, 100.00;Glutamic acid digestion check standard=103%Glutamic acid digestion check standard=103%"
01/22/2008,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Phosphorus (Total),TP,11.614,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,800,"QC: 20080422B Spikes: 96.541, 91.713, 99.486, 100.28 Reps: 3.029, 3.066; 3.809, 3.474; 4.923, 4.886; 3.846, 3.80 Knowns: 97.368, 97.510, 98.934, 97.652, 96.85;"
02/01/2008,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Nitrogen (Total),TN,383.181,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,1200,"QC: 20080424A Spikes: 101.322, 101.858, 104.490, 107.72 Reps: 94.634, 93.699; 94.705, 105.891; 541.384, 543.494; 99.62, 98.9 Knowns: 103.931, 100.000, 100.000, 100.000, 100.00;Glutamic acid digestion check standard=103%Glutamic acid digestion check standard=103%"
02/01/2008,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Phosphorus (Total),TP,4.589,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,1200,"QC: 20080422B Spikes: 96.541, 91.713, 99.486, 100.28 Reps: 3.029, 3.066; 3.809, 3.474; 4.923, 4.886; 3.846, 3.80 Knowns: 97.368, 97.510, 98.934, 97.652, 96.85;"
02/11/2008,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Nitrogen (Total),TN,1305.93,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,370.8,"QC: 20080424A Spikes: 101.322, 101.858, 104.490, 107.72 Reps: 94.634, 93.699; 94.705, 105.891; 541.384, 543.494; 99.62, 98.9 Knowns: 103.931, 100.000, 100.000, 100.000, 100.00;Glutamic acid digestion check standard=103%Glutamic acid digestion check standard=103%"
02/11/2008,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Phosphorus (Total),TP,8.267,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,370.8,"QC: 20080422B Spikes: 96.541, 91.713, 99.486, 100.28 Reps: 3.029, 3.066; 3.809, 3.474; 4.923, 4.886; 3.846, 3.80 Knowns: 97.368, 97.510, 98.934, 97.652, 96.85;"
02/28/2008,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Nitrogen (Total),TN,872.641,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,1085.8,"QC: 20080424A Spikes: 101.322, 101.858, 104.490, 107.72 Reps: 94.634, 93.699; 94.705, 105.891; 541.384, 543.494; 99.62, 98.9 Knowns: 103.931, 100.000, 100.000, 100.000, 100.00;Glutamic acid digestion check standard=103%Glutamic acid digestion check standard=103%"
02/28/2008,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Phosphorus (Total),TP,4.477,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,1085.8,"QC: 20080422B Spikes: 96.541, 91.713, 99.486, 100.28 Reps: 3.029, 3.066; 3.809, 3.474; 4.923, 4.886; 3.846, 3.80 Knowns: 97.368, 97.510, 98.934, 97.652, 96.85;"
03/06/2008,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Nitrogen (Total),TN,718.439,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,393.4,"QC: 20080424A Spikes: 101.322, 101.858, 104.490, 107.72 Reps: 94.634, 93.699; 94.705, 105.891; 541.384, 543.494; 99.62, 98.9 Knowns: 103.931, 100.000, 100.000, 100.000, 100.00;Glutamic acid digestion check standard=103%Glutamic acid digestion check standard=103%"
03/06/2008,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Phosphorus (Total),TP,3.549,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,393.4,"QC: 20080422B Spikes: 96.541, 91.713, 99.486, 100.28 Reps: 3.029, 3.066; 3.809, 3.474; 4.923, 4.886; 3.846, 3.80 Knowns: 97.368, 97.510, 98.934, 97.652, 96.85;"
03/19/2008,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Nitrogen (Total),TN,997.901,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,728.1,"QC: 20080509N Spikes: 105.594 Reps: 487.095, 503.835 Knowns: 100, 100, 100;"
03/19/2008,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Phosphorus (Total),TP,6.548,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,728.1,"QC: 20080507A Spikes: 103.68, 104.309, 105.973 Reps: 6.389, 6.906; 29.506, 30.062; 8.137, 8.256 Knowns: 98.65, 104.419, 106.284, 99.583, 101.258;"
04/08/2008,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Nitrogen (Total),TN,998.905,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,1043.6,"QC: 20080509N Spikes: 105.594 Reps: 487.095, 503.835 Knowns: 100, 100, 100;"
04/08/2008,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Phosphorus (Total),TP,18.98,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,1043.6,"QC: 20080507A Spikes: 103.68, 104.309, 105.973 Reps: 6.389, 6.906; 29.506, 30.062; 8.137, 8.256 Knowns: 98.65, 104.419, 106.284, 99.583, 101.258;"
04/17/2008,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Nitrogen (Total),TN,2020.55,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,479.7,"QC: 20080509N Spikes: 105.594 Reps: 487.095, 503.835 Knowns: 100, 100, 100;"
04/17/2008,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Phosphorus (Total),TP,35.663,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,479.7,"QC: 20080507A Spikes: 103.68, 104.309, 105.973 Reps: 6.389, 6.906; 29.506, 30.062; 8.137, 8.256 Knowns: 98.65, 104.419, 106.284, 99.583, 101.258;"
05/02/2008,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Nitrogen (Total),TN,711.371,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,0,"QC: 20080509N Spikes: 105.594 Reps: 487.095, 503.835 Knowns: 100, 100, 100;"
05/02/2008,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Nitrogen (Total),TN,671.606,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,0,"QC: 20080509N Spikes: 105.594 Reps: 487.095, 503.835 Knowns: 100, 100, 100;"
05/02/2008,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Phosphorus (Total),TP,22.833,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,0,"QC: 20080507A Spikes: 103.68, 104.309, 105.973 Reps: 6.389, 6.906; 29.506, 30.062; 8.137, 8.256 Knowns: 98.65, 104.419, 106.284, 99.583, 101.258;"
05/02/2008,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Phosphorus (Total),TP,23.628,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,0,"QC: 20080507A Spikes: 103.68, 104.309, 105.973 Reps: 6.389, 6.906; 29.506, 30.062; 8.137, 8.256 Knowns: 98.65, 104.419, 106.284, 99.583, 101.258;"
05/13/2008,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Nitrogen (Total),TN,2956.24,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,0,"QC: 20080605B Spikes: 107.84, 106.554 Reps: 152.165, 152.035; 96.805, 107.966 Knowns: 100, 100;"
05/13/2008,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Nitrogen (Total),TN,1014.78,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,0,"QC: 20080605B Spikes: 107.84, 106.554 Reps: 152.165, 152.035; 96.805, 107.966 Knowns: 100, 100;"
05/13/2008,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Phosphorus (Total),TP,48.469,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,0,"QC: 20080605A Spikes: 97.07, 96.092 Reps: 6.133, 6.209; 6.133, 6.209 Knowns: 99.594, 101.951, 101.08;"
05/13/2008,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Phosphorus (Total),TP,279.148,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,0,"QC: 20080605A Spikes: 97.07, 96.092 Reps: 6.133, 6.209; 6.133, 6.209 Knowns: 99.594, 101.951, 101.08;"
05/16/2008,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Nitrogen (Total),TN,372.4,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,642.5,"QC: 20080605B Spikes: 107.84, 106.554 Reps: 152.165, 152.035; 96.805, 107.966 Knowns: 100, 100;"
05/16/2008,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Phosphorus (Total),TP,9.239,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,642.5,"QC: 20080605A Spikes: 97.07, 96.092 Reps: 6.133, 6.209; 6.133, 6.209 Knowns: 99.594, 101.951, 101.08;"
05/22/2008,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Nitrogen (Total),TN,524.863,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,1629.7,"QC: 20080605B Spikes: 107.84, 106.554 Reps: 152.165, 152.035; 96.805, 107.966 Knowns: 100, 100;"
05/22/2008,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Phosphorus (Total),TP,20.225,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,1629.7,"QC: 20080605A Spikes: 97.07, 96.092 Reps: 6.133, 6.209; 6.133, 6.209 Knowns: 99.594, 101.951, 101.08;"
05/27/2008,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Nitrogen (Total),TN,497.594,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,703.6,"QC: 20080605B Spikes: 107.84, 106.554 Reps: 152.165, 152.035; 96.805, 107.966 Knowns: 100, 100;"
05/27/2008,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Phosphorus (Total),TP,8.179,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,703.6,"QC: 20080605A Spikes: 97.07, 96.092 Reps: 6.133, 6.209; 6.133, 6.209 Knowns: 99.594, 101.951, 101.08;"
06/02/2008,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Nitrogen (Total),TN,569.061,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,827.5,"QC: 20080605B Spikes: 107.84, 106.554 Reps: 152.165, 152.035; 96.805, 107.966 Knowns: 100, 100;"
06/02/2008,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Phosphorus (Total),TP,15.603,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,827.5,"QC: 20080605A Spikes: 97.07, 96.092 Reps: 6.133, 6.209; 6.133, 6.209 Knowns: 99.594, 101.951, 101.08;"
06/10/2008,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Nitrogen (Total),TN,238.062,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,3970.5,"QC: 20080624N Spikes: 108.291, 104.383 Reps: 198.211, 204.026; 186.805, 185.089 Knowns: 100, 100;Glutamic acid digestion check standard=100%"
06/10/2008,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Phosphorus (Total),TP,6.308,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,3970.5,"QC: 20080625P Spikes: 102.222, 96.268 Reps: 29.422, 29.384; 7.795, 7.643 Knowns: 100.676, 93.303, 98.482;"
06/13/2008,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Nitrogen (Total),TN,61.36,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,0,"QC: 20080624N Spikes: 108.291, 104.383 Reps: 198.211, 204.026; 186.805, 185.089 Knowns: 100, 100;Glutamic acid digestion check standard=100%"
06/13/2008,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Phosphorus (Total),TP,3.028,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,0,"QC: 20080625P Spikes: 102.222, 96.268 Reps: 29.422, 29.384; 7.795, 7.643 Knowns: 100.676, 93.303, 98.482;"
06/26/2008,Yellow Bay Knob @ Flathead Lake BioStation,Nitrogen (Total),TN,226.764,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Dry,1073.7,"QC: 20081001N Spikes: 106.179, 109.307, 109.568, 106.32 Reps: 52.706, 52.955; 132.6, 130.979; 1251.84, 47.597; 54.088, 54.628 Knowns: 100, 100, 100, 109.804, 100;"
06/26/2008,Yellow Bay Knob @ Flathead Lake BioStation,Phosphorus (Total),TP,28.719,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Dry,1073.7,"QC: 20081003P Spikes: 99.123, 104.937, 109.49, 105.623 Reps: 20.643, 21.136; 11.202, 11.164; 6.804, 6.88; 5.932, 5.515 Knowns: 100.234, 100.96, 102.56, 94.115, 102.123;"
07/03/2008,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Nitrogen (Total),TN,518.936,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,2406.1,"QC: 20081001N Spikes: 106.179, 109.307, 109.568, 106.32 Reps: 52.706, 52.955; 132.6, 130.979; 1251.84, 47.597; 54.088, 54.628 Knowns: 100, 100, 100, 109.804, 100;"
07/03/2008,Yellow Bay Knob @ Flathead Lake BioStation,Nitrogen (Total),TN,346.588,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Dry,1134.8,"QC: 20081001N Spikes: 106.179, 109.307, 109.568, 106.32 Reps: 52.706, 52.955; 132.6, 130.979; 1251.84, 47.597; 54.088, 54.628 Knowns: 100, 100, 100, 109.804, 100;"
07/03/2008,Yellow Bay Knob @ Flathead Lake BioStation,Nitrogen (Total),TN,361.891,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Wet,1688.2,"QC: 20081001N Spikes: 106.179, 109.307, 109.568, 106.32 Reps: 52.706, 52.955; 132.6, 130.979; 1251.84, 47.597; 54.088, 54.628 Knowns: 100, 100, 100, 109.804, 100;"
07/03/2008,Yellow Bay Knob @ Flathead Lake BioStation,Phosphorus (Total),TP,12.757,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Wet,1688.2,"QC: 20081003P Spikes: 99.123, 104.937, 109.49, 105.623 Reps: 20.643, 21.136; 11.202, 11.164; 6.804, 6.88; 5.932, 5.515 Knowns: 100.234, 100.96, 102.56, 94.115, 102.123;"
07/03/2008,Yellow Bay Knob @ Flathead Lake BioStation,Phosphorus (Total),TP,101.405,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Dry,1134.8,"QC: 20081003P Spikes: 99.123, 104.937, 109.49, 105.623 Reps: 20.643, 21.136; 11.202, 11.164; 6.804, 6.88; 5.932, 5.515 Knowns: 100.234, 100.96, 102.56, 94.115, 102.123;"
07/03/2008,"Bulk Deposition @ Flathead Lake, Biostation Poi...",Phosphorus (Total),TP,23.676,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Bulk,2406.1,"QC: 20081003P Spikes: 99.123, 104.937, 109.49, 105.623 Reps: 20.643, 21.136; 11.202, 11.164; 6.804, 6.88; 5.932, 5.515 Knowns: 100.234, 100.96, 102.56, 94.115, 102.123;"
07/10/2008,Yellow Bay Knob @ Flathead Lake BioStation,Nitrogen (Total),TN,355.417,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Dry,1154.4,"QC: 20090212N Spikes: 99.64, 90.373, 103.309, 101.859 Reps: 225.52, 226.048; 107.19, 113.245; 123.488, 120.259; 105.707, 115.99 Knowns: 100, 100, 100, 103.616, 100;"
07/10/2008,Yellow Bay Knob @ Flathead Lake BioStation,Phosphorus (Total),TP,169.428,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Dry,1154.4,"QC: 20090127P Spikes: 103.058, 103.569, 103.616, 100.282 Reps: 6.2, 6.598; 18.972, 19.33; 6.956, 5.802; 6.2, 6.439 Knowns: 105.851, 109.36, 106.156, 104.592, 105.851;"
07/18/2008,Yellow Bay Knob @ Flathead Lake BioStation,Nitrogen (Total),TN,315.84,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Dry,888.2,"QC: 20090212N Spikes: 99.64, 90.373, 103.309, 101.859 Reps: 225.52, 226.048; 107.19, 113.245; 123.488, 120.259; 105.707, 115.99 Knowns: 100, 100, 100, 103.616, 100;"
07/18/2008,Yellow Bay Knob @ Flathead Lake BioStation,Phosphorus (Total),TP,73.938,µg/l,,Legacy_AutoAnalyzer -- Nutrients,0,0,Deposition-Dry,888.2,"QC: 20090127P Spikes: 103.058, 103.569, 103.616, 100.282 Reps: 6.2, 6.598; 18.972, 19.33; 6.956, 5.802; 6.2, 6.439 Knowns: 105.851, 109.36, 106.156, 104.592, 105.851;"
