"Date","Volume","Volume_mL","Result_ugL","Volume_L","TP_kg_m2","TP_wet_kg"
2009-05-21,126.7,126.7,97.014,0.1267,0.000000195409904295571,5.43448039809362
2009-06-10,480.8,480.8,16.352,0.4808,0.000000124988738036946,3.47602056964745
2009-06-19,509.7,509.7,28.156,0.5097,0.000000228150348160631,6.34501408394214
2009-06-24,1273,1273,6.905,1.273,0.00000013974221805348,3.88632473638121
2009-07-15,2593.4,2593.4,4.468,2.5934,0.00000018421212680042,5.12306270143702
2009-08-18,1680.5,1680.5,3.22,1.6805,0.0000000860260405074561,2.39244183936676
2009-10-01,301.3,301.3,32.683,0.3013,0.000000156551268640107,4.35379569826969
2009-10-23,542.9,542.9,9.613,0.5429,0.0000000829687084671394,2.30741538636551
2009-10-29,1596.4,1596.4,4.139,1.5964,0.000000105044348351404,2.92135372617938
2009-12-02,361,361,20.072,0.361,0.000000115194938157769,3.20364843140754
2009-12-16,1056.4,1056.4,4.106,1.0564,0.0000000689577183555372,1.91776036148912
2009-12-23,2229.3,2229.3,6.834,2.2293,0.000000242202731232711,6.73582027479013
2010-01-06,1930.8,1930.8,2.526,1.9308,0.0000000775364980445773,2.15634197396017
2010-01-13,380.4,380.4,2.527,0.3804,0.0000000152820387269085,0.425003738698286
2010-01-27,407,407,1.789,0.407,0.0000000115755142920734,0.321922810130311
2010-02-04,227.6,227.6,665.81,0.2276,0.00000240911824743251,66.9991930017971
2010-02-17,723.4,723.4,1.623,0.7234,0.0000000186651966551143,0.519091628003424
2010-03-10,1320.7,1320.7,1.384,1.3207,0.0000000290586753998283,0.808141237386152
2010-04-02,561.7,561.7,21.422,0.5617,0.000000191293399255986,5.31999763414711
2010-04-16,2407.3,2407.3,5.38,2.4073,0.000000205896060538616,5.72610743081545
2010-04-30,3589.4,3589.4,4.914,3.5894,0.000000280409392388159,7.79837312682893
2010-05-12,522.3,522.3,11.75,0.5223,0.0000000975648628024546,2.71334422046821
2010-05-19,777.2,777.2,16.396,0.7772,0.000000202584515595689,5.63401114662443
2010-05-26,448.4,448.4,9.64,0.4484,0.0000000687192140154526,1.91112739595074
2010-06-02,2367,2367,2.187,2.367,0.0000000822967314234841,2.28872725443649
2010-06-07,1236.9,1236.9,3.539,1.2369,0.0000000695906187402626,1.93536174534494
2010-06-18,3850.3,3850.3,15.819,3.8503,0.000000968298236940002,26.9290229025424
2010-06-22,976.7,976.7,3.925,0.9767,0.0000000609447632825665,1.69491471079478
2010-07-06,897,897,15.191,0.897,0.000000216627881466408,6.02456656305944
2010-08-02,2233.4,2233.4,36.728,2.2334,0.00000130406529522114,36.2669298174057
2010-08-16,1019.3,1019.3,7.595,1.0193,0.000000123073725795682,3.42276279581671
2010-08-30,1987.9,1987.9,9.563,1.9879,0.00000030222071953197,8.40496075219392
2010-09-02,361.3,361.3,9.169,0.3613,0.0000000526654112746813,1.46466038280681
2010-09-14,964.2,964.2,13.222,0.9642,0.000000202674833868557,5.63652295832234
2010-09-22,1468.6,1468.6,8.495,1.4686,0.00000019833641219675,5.51586854410985
2010-10-05,362,362,71.611,0.362,0.000000412120155161998,11.4613377093698
2010-10-12,511.6,511.6,5.515,0.5116,0.0000000448550761502019,1.24744972867168
2010-10-28,1081.2,1081.2,7.002,1.0812,0.000000120354875838606,3.34714975639401
2010-11-03,235.4,235.4,1.16,0.2354,0.0000000043411020317319,0.120728956818317
2010-11-09,711.2,711.2,3.949,0.7112,0.0000000446492766525707,1.24172630672003
2010-11-18,2434.3,2434.3,4.067,2.4343,0.000000157392421544625,4.37718872426744
2010-12-02,2946.5,2946.5,1.709,2.9465,0.0000000800541874662173,2.22636060407881
2010-12-15,1985,1985,1.591,1.985,0.0000000502072271151951,1.39629663390786
2011-01-13,2138.7,2138.7,14.821,2.1387,0.000000503921539855648,14.0143957410696
2011-01-19,292,292,4.145,0.292,0.0000000192416775301262,0.53512394748294
2011-01-26,1225.6,1225.6,7.471,1.2256,0.000000145567034434517,4.04831678360805
2011-02-03,799.3,799.3,4.858,0.7993,0.0000000617309370131315,1.716778729119
2011-02-11,806.8,806.8,6.006,0.8068,0.000000077034765190296,2.14238844703174
2011-02-18,1920.8,1920.8,1.785,1.9208,0.0000000545074560427331,1.51588888230624
2011-03-04,862.6,862.6,6.122,0.8626,0.0000000839534068869035,2.33480050934345
2011-04-01,1289.6,1289.6,2.837,1.2896,0.0000000581634161075959,1.6175635818581
2011-04-08,1158.9,1158.9,1.299,1.1589,0.0000000239326428412451,0.665582836572067
2011-04-15,812.7,812.7,7.094,0.8127,0.0000000916551747162253,2.54899183424073
2011-04-22,688.7,688.7,4.138,0.6887,0.0000000453060411433659,1.25999136735888
2011-04-30,1126.8,1126.8,3.586,1.1268,0.0000000642380973577947,1.78650453855054
2011-05-17,671.4,671.4,51.48,0.6714,0.000000549484467902451,15.2815313053733
2011-06-04,2284.6,2284.6,2.563,2.2846,0.0000000930881339226098,2.58884339010959
2011-06-11,1546.4,1546.4,3.876,1.5464,0.0000000952886458300213,2.6500411009918
2011-06-14,1148.8,1148.8,15.331,1.1488,0.000000279995116212521,7.7868518287452
2011-06-21,826,826,11.437,0.826,0.000000150185399510349,4.17675661149869
2011-06-30,344.1,344.1,40.748,0.3441,0.000000222908441702967,6.19923315233834
2011-07-15,1121.5,1121.5,31.277,1.1215,0.000000557647698006423,15.508556205391
2011-07-22,1155.9,1155.9,18.049,1.1559,0.000000331672110584719,9.22402367507761
2011-09-02,1196,1196,12.634,1.196,0.000000240219134526724,6.68065512103158
2011-09-22,1271.8,1271.8,7.33,1.2718,0.000000148203459349464,4.1216375273696
2011-10-06,1810.8,1810.8,14.302,1.8108,0.000000411720797430924,11.4502313032275
2011-10-14,2731.1,2731.1,1.831,2.7311,0.0000000794989682363041,2.2109195851986
2011-10-20,790,790,1.995,0.79,0.0000000250556421099488,0.696814198845356
2011-11-28,824,824,20.299,0.824,0.000000265911672124893,7.39518181023837
2012-01-03,698.3,698.3,13.69,0.6983,0.000000151978108804172,4.22661305839619
2012-01-20,1729.1,1729.1,8.368,1.7291,0.00000023002621220311,6.39718312012835
2012-02-15,1386.2,1386.2,17.264,1.3862,0.000000380454624654224,10.5806980843719
2012-02-29,1013.8,1013.8,1.65,1.0138,0.0000000265932720740199,0.739576718633638
2012-03-22,2648.9,2648.9,8,2.6489,0.000000336892308670631,9.36920088231446
2012-04-04,1252.3,1252.3,5.1,1.2523,0.000000101534609392388,2.82374553357546
2012-04-19,1958.3,1958.3,2.3,1.9583,0.0000000716048774283807,1.99137962937558
2012-04-27,1171.1,1171.1,13.3,1.1711,0.000000247617404851992,6.88640597694342
2012-05-03,656.8,656.8,37.6,0.6568,0.000000392605640520174,10.9186259789609
2012-05-25,1622.6,1622.6,6.1,1.6226,0.000000157353661250835,4.37611077452079
2012-06-01,1941,1941,2.4,1.941,0.0000000740580585672952,2.05960424091952
2012-06-09,3478.4,3478.4,9.4,3.4784,0.000000519807955231948,14.4562075994281
2012-06-13,2286.3,2286.3,8.9,2.2863,0.000000323488442338876,8.9964303766373
2012-06-21,835.4,835.4,24.1,0.8354,0.000000320071539855649,8.9014040286421
2012-07-05,2049.6,2049.6,14.8,2.0496,0.000000482243489873136,13.4115146428799
2012-07-19,1525.2,1525.2,10.6,1.5252,0.000000257020762455884,7.14791965384139
2012-08-03,1010.77,1010.77,13.5,1.01077,0.000000216931019681409,6.03299703997552
2013-03-04,425.7,425.7,7,0.4257,0.0000000473736924104162,1.31749413479222
2013-03-19,432.6,432.6,4.7,0.4326,0.0000000323236145114623,0.898941382174648
2013-03-26,773.7,773.7,2.2,0.7737,0.0000000270601888652189,0.752561987514758
2013-04-11,523.3,523.3,6.1,0.5233,0.000000050747670980255,1.41132673998936
2013-04-17,745.8,745.8,4.2,0.7458,0.0000000497974627197863,1.38490081145601
2013-04-24,1158.1,1158.1,2.5,1.1581,0.00000004602794823694,1.28006808743823
2013-05-21,478.2,478.2,22.1,0.4782,0.000000168010874058059,4.67249500493098
2013-05-30,3756.2,3756.2,19,3.7562,0.00000113458713554418,31.553628616069
2013-06-13,790.5,790.5,15.3,0.7905,0.00000019227767002639,5.34737086390976
2013-06-21,2267.2,2267.2,27.4,2.2672,0.000000987588311977362,27.4654928171365
2013-08-06,1794.2,1794.2,7.5,1.7942,0.000000213928015007472,5.94948146744236
2013-08-29,350.9,350.9,22.8,0.3509,0.000000127190232425042,3.53724560397592
2013-09-09,1082.4,1082.4,7.8,1.0824,0.000000134220215573432,3.73275414668041
2013-09-20,3576.3,3576.3,4.9,3.5763,0.000000278590028933897,7.74777540986654
2013-09-26,1198.3,1198.3,2.3,1.1983,0.0000000438156179453753,1.21854169937229
2013-10-09,362.2,362.2,2.2,0.3622,0.0000000126679596833169,0.352304448594863
2013-11-08,1210.7,1210.7,1.8,1.2107,0.0000000346453212934406,0.963509603740827
2013-11-21,510.6,510.6,1.8,0.5106,0.0000000146113001176433,0.406350048459623
2013-12-04,714,714,1.8,0.714,0.0000000204317827732028,0.568221571876559
2013-12-11,840.2,840.2,1.8,0.8402,0.0000000240431146863375,0.668655132620007
2013-12-26,0,0,2,0,0,0
2014-01-09,972.6,972.6,3.8,0.9726,0.0000000587561603764586,1.63404819721999
2014-01-31,1445.8,1445.8,3.5,1.4458,0.0000000804473625639884,2.23729506704556
2014-02-12,365,365,1.6,0.365,0.00000000928428348860132,0.258202145950755
2014-02-21,609.7,609.7,2.4,0.6097,0.0000000232628533273982,0.64695554131305
2014-03-04,1741.4,1741.4,1.5,1.7414,0.0000000415265015420813,1.15487983807871
2014-03-12,1277.7,1277.7,1.5,1.2777,0.000000030468824520683,0.847358429489589
2014-03-19,670.5,670.5,2.8,0.6705,0.0000000298464277765413,0.830049158917719
2014-04-02,958.3,958.3,1.6,0.9583,0.0000000243756955263744,0.677904428670161
2014-04-25,539.7,539.7,7.3,0.5397,0.0000000626340974849766,1.74189622712028
2014-05-02,1684.7,1684.7,27.3,1.6847,0.00000073117404851992,20.3344403069048
2014-05-13,579.6,579.6,2.9,0.5796,0.0000000267215668818162,0.743144683218951
2014-05-21,888.1,888.1,8.4,0.8881,0.00000011859781882929,3.29828482342204
2014-06-04,1286.3,1286.3,5,1.2863,0.000000102246351467362,2.84353955767514
2014-06-13,974,974,30.3,0.974,0.0000004691774506375,13.0481393351505
2014-06-19,5445.9,5445.9,1.5,5.4459,0.000000129866299958666,3.61166883553052
2014-06-27,435.2,435.2,6.2,0.4352,0.00000004289593335665,1.19296465460645
2014-07-16,891.9,891.9,6,0.8919,0.0000000850751963371594,2.36599822575492
2014-08-15,700,700,18.8,0.7,0.000000209214333407523,5.81839082313688
2014-08-22,2556.4,2556.4,6.1,2.5564,0.000000247910082350323,6.89454553431835
2014-09-04,1223.9,1223.9,4.8,1.2239,0.0000000933948046167054,2.59737210763668
2014-10-03,1104.2,1104.2,7.3,1.1042,0.00000012814632285142,3.5638351194853
2014-10-17,698.5,698.5,13.6,0.6985,0.000000151022225048488,4.20002929053732
2014-10-24,1524.5,1524.5,3.4,1.5245,0.0000000824027852850466,2.29167668340163
2014-10-31,1085,1085,1.5,1.085,0.0000000258735811261963,0.719561631052832
2014-11-07,1880.2,1880.2,2.1,1.8802,0.0000000627709770754507,1.74570294026521
2014-11-14,891.1,891.1,13.7,0.8911,0.000000194080792343646,5.39751690396753
2014-12-02,1140.3,1140.3,3.5,1.1403,0.0000000634486979746272,1.76455081266569
2014-12-09,1396.2,1396.2,1.5,1.3962,0.0000000332946488187975,0.925946497028539
2014-12-17,747.8,747.8,1.7,0.7478,0.0000000202101681981495,0.562058322022872
2014-12-23,812.3,812.3,1.5,0.8123,0.0000000193706082477505,0.538709597146742
2015-01-02,2880.2,2880.2,1.5,2.8802,0.0000000686830307462402,1.91012111498467
2015-01-09,1823.6,1823.6,2.7,1.8236,0.0000000782760484563289,2.17690936654221
2015-01-16,663.4,663.4,1.6,0.6634,0.0000000168745031954469,0.469291242804742
2015-01-23,759.3,759.3,2.2,0.7593,0.0000000265565482814537,0.738555405350854
2015-02-04,413.8,413.8,1.5,0.4138,0.00000000986773075577883,0.274428205465126
2015-02-12,1266.9,1266.9,1.5,1.2669,0.0000000302112810403485,0.840195972701229
2015-03-05,247.2,247.2,1.5,0.2472,0.00000000589488410543385,0.16394067760024
2015-03-20,1557,1557,1.5,1.557,0.0000000371291850815554,1.0325875203219
2015-04-06,1152.9,1152.9,4.9,1.1529,0.0000000898097039839751,2.49766805638093
2015-04-15,719.5,719.5,6.2,0.7195,0.0000000709182537916124,1.97228416587624
2015-05-14,503.6,503.6,7.1,0.5036,0.0000000568433436138756,1.58085148112274
2015-06-03,1058.2,1058.2,8.3,1.0582,0.000000139630854344854,3.88322763701069
2015-07-14,528.9,528.9,16.4,0.5289,0.000000137896410289021,3.83499158542981
2015-07-22,644,644,9.8,0.644,0.000000100333852659693,2.79035168411713
2015-08-06,709.1,709.1,4.3,0.7091,0.0000000484742933452037,1.3481025843884
2015-09-04,436,436,119,0.436,0.000000824838637881148,22.9393153090907
2015-09-10,716.2,716.2,6,0.7162,0.0000000683157928205781,1.89990798215682
2015-09-17,1503.3,1503.3,2.5,1.5033,0.0000000597477027757464,1.66162365585518
2015-10-27,474,474,1.6,0.474,0.000000012056850338622,0.335309088166186
2015-11-04,960.9,960.9,13.3,0.9609,0.000000203172713109281,5.65036931367512
2015-11-20,391.7,391.7,7.1,0.3917,0.0000000442127436329528,1.22958603088916
2015-12-09,1440.1,1440.1,10,1.4401,0.000000228943435820801,6.36707038328223
2015-12-17,775.4,775.4,1.5,0.7754,0.0000000184906680232743,0.514237869786513
2015-12-22,799.7,799.7,1.5,0.7997,0.0000000190701408540269,0.530353397560323
2016-01-04,424.3,424.3,1.9,0.4243,0.0000000128162856506947,0.356429493152603
2016-01-15,866.2,866.2,1.5,0.8662,0.000000020655940987568,0.574455562044206
2016-01-21,730.8,730.8,1.5,0.7308,0.0000000174271088359671,0.484659576012359
2016-01-29,342.9,342.9,1.5,0.3429,0.00000000817700550062001,0.22740800303043
2016-02-05,419.5,419.5,1.5,0.4195,0.0000000100036564815109,0.278208390992316
2016-02-19,881,881,1.6,0.881,0.0000000224094623382404,0.623222165979768
2016-03-09,1064.4,1064.4,1.7,1.0644,0.0000000287666528886204,0.800019895642076
2016-03-17,926.9,926.9,2.4,0.9269,0.0000000353654891736352,0.9835379551305
2016-03-25,640.5,640.5,3.8,0.6405,0.000000038693523258402,1.07609281340675
2016-04-15,1647.8,1647.8,11.9,1.6478,0.000000311736033830403,8.66958801979809
2016-04-29,1755,1755,13.1,1.755,0.000000365497122508028,10.1647199254809
2016-05-12,574.3,574.3,22.1,0.5743,0.000000201774665352453,5.61148866861535
2016-05-20,1115,1115,9.1,1.115,0.000000161306476741598,4.48604122241325
2016-05-25,1543.8,1543.8,4.1,1.5438,0.000000100626053225653,2.79847797768319
2016-06-17,2019.9,2019.9,14.5,2.0199,0.000000465621919811771,12.9492576400445
2016-06-30,654.5,654.5,7.3,0.6545,0.0000000759570442911195,2.11241630655962
2016-07-13,3825.4,3825.4,3.8,3.8254,0.000000231097898318019,6.4269874292056
2016-08-12,979.91,979.91,3.3,0.97991,0.000000051408587962227,1.42970728419074
2016-09-09,570.18,570.18,10.2,0.57018,0.0000000924586817589266,2.57133790359188
2016-09-16,209.02,209.02,3.6,0.20902,0.0000000119626085021144,0.332688159534001
2016-09-23,452.11,452.11,3.8,0.45211,0.0000000273126132714381,0.759582079421275
2016-10-07,748.07,748.07,5.5,0.74807,0.0000000654094464404947,1.81908054155411
2016-10-11,3663.89,3663.89,1.5,3.66389,0.0000000873713872372898,2.42985683354669
2016-10-21,1274.95,1274.95,6.4,1.27495,0.0000001297205176306,3.60761453128674
2016-10-28,1596.58,1596.58,2.5,1.59658,0.0000000634550570729071,1.76472766345058
2016-11-03,1040.73,1040.73,1.5,1.04073,0.0000000248178913230104,0.69020219012499
2016-11-16,445.34,445.34,2.4,0.44534,0.0000000169917649677276,0.472552371278257
2016-12-01,789.64,789.64,2.7,0.78964,0.0000000338944389685543,0.942627063060097
2016-12-16,662.3,662.3,4.6,0.6623,0.0000000484337540936695,1.34697516063468
2016-12-28,809.3,809.3,3.1,0.8093,0.0000000398847413436775,1.10922138668773
2017-01-12,1325.8,1325.8,1.5,1.3258,0.0000000316158468729134,0.879257889815525
2017-02-08,1146.9,1146.9,2.4,1.1469,0.0000000437594989030555,1.21698099119557
2017-02-13,749.2,749.2,1.5,0.7492,0.0000000178658866172777,0.496862280170306
2017-02-24,969.9,969.9,1.5,0.9699,0.00000002312883533115,0.643228411021329
2017-03-07,1564.1,1564.1,1.5,1.5641,0.0000000372984960732568,1.0372961724698
2017-03-13,892.7,892.7,6.6,0.8927,0.0000000936666560681695,2.60493247869106
2017-03-21,2165.9,2165.9,1.5,2.1659,0.0000000516493911163397,1.43640418128786
2017-03-28,1475,1475,3,1.475,0.0000000703475247209946,1.95641180793166
2017-04-12,1118.4,1118.4,2.3,1.1184,0.0000000408940892181489,1.13729202752063
2017-04-19,622.1,622.1,4.1,0.6221,0.0000000405489491590092,1.1276934511703
2017-04-28,1875.7,1875.7,2.6,1.8757,0.0000000775304441830149,2.15617361201295
2017-05-09,882,882,2,0.882,0.0000000280436234141999,0.779911961399199
2017-05-16,815.4,815.4,5.5,0.8154,0.0000000712966201392643,1.98280678757766
2017-06-06,852.5,852.5,137,0.8525,0.00000185673746462752,51.6371132379342
2017-06-15,2203,2203,23.7,2.203,0.000000830038790499507,23.0839350384409
2017-08-17,464,464,15.9,0.464,0.00000011728720867381,3.26183587665461
2017-09-21,1507.1,1507.1,9.7,1.5071,0.000000232407077676385,6.46339658454643
2017-10-04,538.9,538.9,7,0.5389,0.0000000599710661028266,1.66783553967472
2017-10-13,1357,1357,6.9,1.357,0.000000148855362309625,4.1397673855834
2017-10-18,908.2,908.2,1.9,0.9082,0.0000000274328320244189,0.762925443509767
2017-10-23,1244.5,1244.5,1.5,1.2445,0.0000000296771167848399,0.825340506769815
2017-11-07,1489.9,1489.9,4,1.4899,0.0000000947442052716925,2.63489984419199
2017-11-20,674.7,674.7,1.5,0.6747,0.0000000160893135353407,0.447454592139489
2017-11-27,1751.2,1751.2,1.5,1.7512,0.0000000417601984038663,1.1613791044237
2017-12-18,650.5,650.5,2.1,0.6505,0.0000000217171155130203,0.603967536774022
2017-12-22,1894.5,1894.5,1.5,1.8945,0.0000000451774188420082,1.25641429495815
2018-01-02,1898.2,1898.2,2.3,1.8982,0.0000000694073320403167,1.93026441938453
2018-01-10,565.2,565.2,2.5,0.5652,0.0000000224635146736193,0.624725397651399
2018-01-16,1194.3,1194.3,1.5,1.1943,0.0000000284800165336555,0.792048346512809
2018-01-30,553.6,553.6,7.6,0.5536,0.0000000668875393469206,1.86018729586878
2018-02-07,1069.3,1069.3,1.5,1.0693,0.0000000254991892149693,0.709149541091976
2018-02-13,325.2,325.2,6.2,0.3252,0.0000000320536707894821,0.891434066355737
2018-02-21,1124.3,1124.3,5.2,1.1243,0.000000092943944548663,2.58483338698743
2018-03-21,404.8,404.8,3.5,0.4048,0.000000022523926107278,0.626405480107928
2018-03-28,1213.6,1213.6,1.5,1.2136,0.0000000289402562716607,0.804847922069786
2018-04-11,632.2,632.2,8.6,0.6322,0.0000000864347715493943,2.40380892356606
2018-04-18,1644.8,1644.8,2.4,1.6448,0.000000062756669104321,1.74530502599919
2018-05-03,558,558,21.2,0.558,0.000000188063972528695,5.23018511256687
2018-05-10,520.5,520.5,5.7,0.5205,0.0000000471662268290356,1.31172437793493
2018-05-16,776.4,776.4,3,0.7764,0.0000000370290292836476,1.02980212045976
2018-05-30,832.3,832.3,9.5,0.8323,0.000000125701090585355,3.49583157142248
2018-06-07,1891.6,1891.6,4,1.8916,0.000000120288703061906,3.34530944712636
2018-06-14,1141,1141,17.9,1.141,0.000000324693968395282,9.02995686418429
2018-06-22,1008.6,1008.6,5.8,1.0086,0.0000000929999046135258,2.58638967389453
2018-06-29,2212.7,2212.7,15,2.2127,0.000000527654128644558,14.6744149403742
2018-08-21,590.9,590.9,13.8,0.5909,0.00000012963689548822,3.60528894346534
2018-08-28,1235.3,1235.3,4.8,1.2353,0.0000000942647292613907,2.62156529501069
2018-09-14,685.1,685.1,21.2,0.6851,0.000000230900766271343,6.42150505487377
2018-10-05,768.9,768.9,14.8,0.7689,0.000000180911894693333,5.03128103479234
2018-10-29,1520.5,1520.5,11.3,1.5205,0.00000027314950240056,7.59647072084725
2018-11-05,1131.8,1131.8,2.9,1.1318,0.0000000521798988903373,1.45115795801796
2018-11-14,901.5,901.5,7.4,0.9015,0.000000106055451337,2.94947317782891
2018-12-04,694.1,694.1,5.5,0.6941,0.0000000606904390957362,1.68784178471628
2018-12-27,1085.1,1085.1,1.7,1.0851,0.0000000293260945597914,0.815578343443458
2019-01-10,1769.4,1769.4,1.6,1.7694,0.0000000450071539855649,1.25167911519251
2019-01-24,2203.7,2203.7,2.1,2.2037,0.0000000735711106165146,2.04606189206597
2019-02-07,609,609,3.7,0.609,0.0000000358223903850434,0.996244684025405
2019-02-14,825.5,825.5,1.5,0.8255,0.0000000196853836126037,0.547463710999182
2019-02-21,1110.7,1110.7,1.5,1.1107,0.0000000264864392229182,0.736605625447356
2019-03-08,931.3,931.3,1.5,0.9313,0.0000000222083558551397,0.617629259907376
2019-04-04,438.5,438.5,3,0.4385,0.0000000209134844679025,0.581618018832566
2019-04-11,2188.4,2188.4,1.7,2.1884,0.0000000591440653715303,1.64483609509876
2019-04-24,525.1,525.1,12.4,0.5251,0.000000103514037709453,2.87879476164451
2019-05-03,508.7,508.7,5.2,0.5087,0.0000000420533528345681,1.16953192560749
2019-05-17,329,329,19.7,0.329,0.000000103038059203205,2.86555748039491
2019-06-12,1453.6,1453.6,16.1,1.4536,0.00000037205430669931,10.3470796123282
2019-06-26,768,768,10.5,0.768,0.000000128199421322057,3.56531182353919
2019-07-03,859,859,9.9,0.859,0.000000135196019204477,3.75989189962297
2019-07-18,555.9,555.9,7.4,0.5559,0.0000000653979205748625,1.81875999950648
2019-08-16,1166.2,1166.2,35.6,1.1662,0.00000066002225684398,18.3556612959531
2019-09-11,5458.4,5458.4,2.6,5.4584,0.00000022561826333026,6.27459510785919
2020-01-31,771.7,771.7,1.5,0.7717,0.0000000184024355346412,0.511784065146056
2020-02-07,373.4,373.4,2,0.3734,0.0000000118724364885059,0.330180415404151
2020-04-03,964.3,964.3,25.5,0.9643,0.000000390920002543639,10.8717472571541
2020-04-10,730.5,730.5,5.6,0.7305,0.0000000650344981081683,1.80865297714957
2020-04-17,662.8,662.8,7.9,0.6628,0.0000000832425042129026,2.31502982954738
2020-05-02,559.2,559.2,49,0.5592,0.000000435610950367238,12.1146324670676
2020-05-09,1159.8,1159.8,20.5,1.1598,0.000000377983211980541,10.5119664416277
2020-05-16,1442.3,1442.3,4.8,1.4423,0.000000110060729388573,3.06086264469677
2020-05-22,2144.7,2144.7,10.4,2.1447,0.000000354597310101428,9.86158883762685
2020-05-29,343,343,9.5,0.343,0.0000000518028043623414,1.44067070647352
2020-06-05,597.1,597.1,50.1,0.5971,0.00000047557645225907,13.2260998587235
2020-06-18,620.7,620.7,40.1,0.6207,0.000000395696003306731,11.0045710391516
2020-06-26,679.3,679.3,93.7,0.6793,0.00000101189803185908,28.1415624189134
2020-07-02,2940.1,2940.1,6.4,2.9401,0.000000299142157642046,8.31934388284729
2020-07-10,834.9,834.9,22.9,0.8349,0.000000303952338558392,8.45311823781359
2020-08-07,738.1,738.1,19.4,0.7381,0.000000227642046357826,6.3308778701529
2020-08-19,465.6,465.6,44.1,0.4656,0.000000326427776541286,9.07817523068667
2020-09-01,240,240,22.1,0.24,0.0000000843216431909955,2.34504140774453
2020-09-22,317.1,317.1,68,0.3171,0.000000342799910972624,9.53349526148449
2020-10-01,364.5,364.5,33,0.3645,0.000000191226034148358,5.31812416535729
