"Date","Volume","Parameter","Value","Volume_mL","Volume_L","Result_ugL"
2010-03-17,672.1,"TP","6.393",672.1,0.6721,6.393
2010-03-24,889.7,"TN","180.095",889.7,0.8897,180.095
2010-03-24,889.7,"TP","8.533",889.7,0.8897,8.533
2010-04-02,1056.7,"TN","485.843",1056.7,1.0567,485.843
2010-04-02,1056.7,"TP","10.268",1056.7,1.0567,10.268
2010-04-07,596.3,"TN","226.134",596.3,0.5963,226.134
2010-04-07,596.3,"TP","8.415",596.3,0.5963,8.415
2010-04-16,1089.9,"TN","318.803",1089.9,1.0899,318.803
2010-04-16,1089.9,"TP","25.876",1089.9,1.0899,25.876
2010-04-21,845.3,"TN","258.007",845.3,0.8453,258.007
2010-04-21,845.3,"TP","25.306",845.3,0.8453,25.306
2010-04-30,1198,"TN","894.572",1198,1.198,894.572
2010-04-30,1198,"TP","92.237",1198,1.198,92.237
2010-05-07,941,"TN","358.557",941,0.941,358.557
2010-05-07,941,"TP","53.492",941,0.941,53.492
2010-05-12,1305.6,"TN","129.419",1305.6,1.3056,129.419
2010-05-12,1305.6,"TP","20.621",1305.6,1.3056,20.621
2010-05-19,940.9,"TN","622.258",940.9,0.9409,622.258
2010-05-19,940.9,"TP","135.789",940.9,0.9409,135.789
2010-05-26,654.5,"TN","398.194",654.5,0.6545,398.194
2010-05-26,654.5,"TP","58.733",654.5,0.6545,58.733
2010-06-02,1765.9,"TN","163.004",1765.9,1.7659,163.004
2010-06-02,1765.9,"TP","2.38",1765.9,1.7659,2.38
2010-06-07,1459.7,"TN","133.975",1459.7,1.4597,133.975
2010-06-07,1459.7,"TP","15.394",1459.7,1.4597,15.394
2010-06-18,531.9,"TN","1553.1",531.9,0.5319,1553.1
2010-06-18,531.9,"TP","139.428",531.9,0.5319,139.428
2010-06-22,1630.3,"TN","124.496",1630.3,1.6303,124.496
2010-06-22,1630.3,"TP","13.849",1630.3,1.6303,13.849
2010-07-06,733.1,"TN","531.866",733.1,0.7331,531.866
2010-07-06,733.1,"TP","203.417",733.1,0.7331,203.417
2010-07-13,414.6,"TN","669.009",414.6,0.4146,669.009
2010-07-13,414.6,"TP","170.406",414.6,0.4146,170.406
2010-07-21,804.6,"TN","231.962",804.6,0.8046,231.962
2010-07-21,804.6,"TP","37.753",804.6,0.8046,37.753
2010-07-28,692.4,"TN","383.041",692.4,0.6924,383.041
2010-07-28,692.4,"TP","89.169",692.4,0.6924,89.169
2010-08-02,1067.5,"TN","203.211",1067.5,1.0675,203.211
2010-08-02,1067.5,"TP","12.662",1067.5,1.0675,12.662
2010-08-12,790.7,"TN","910.366",790.7,0.7907,910.366
2010-08-12,790.7,"TP","101.84",790.7,0.7907,101.84
2010-08-16,1272.9,"TN","51.194",1272.9,1.2729,51.194
2010-08-16,1272.9,"TP","7.359",1272.9,1.2729,7.359
2010-08-25,933.1,"TN","549.464",933.1,0.9331,549.464
2010-08-25,933.1,"TP","131.936",933.1,0.9331,131.936
2010-08-30,1257.3,"TN","130.986",1257.3,1.2573,130.986
2010-08-30,1257.3,"TP","21.09",1257.3,1.2573,21.09
2010-09-07,814.9,"TN","236.036",814.9,0.8149,236.036
2010-09-07,814.9,"TP","17.235",814.9,0.8149,17.235
2010-09-14,1530.5,"TN","130.986",1530.5,1.5305,130.986
2010-09-14,1530.5,"TP","12.041",1530.5,1.5305,12.041
2010-09-22,1787.2,"TN","136.152",1787.2,1.7872,136.152
2010-09-22,1787.2,"TP","7.98",1787.2,1.7872,7.98
2010-09-29,916.9,"TN","652.815",916.9,0.9169,652.815
2010-09-29,916.9,"TP","87.383",916.9,0.9169,87.383
2010-10-05,1130,"TN","295.489",1130,1.13,295.489
2010-10-05,1130,"TP","74.24",1130,1.13,74.24
2010-10-12,983.8,"TN","283.817",983.8,0.9838,283.817
2010-10-12,983.8,"TP","45.993",983.8,0.9838,45.993
2010-10-20,1368.2,"TN","59.725",1368.2,1.3682,59.725
2010-10-20,1368.2,"TP","3.797",1368.2,1.3682,3.797
2010-10-28,1799.5,"TN","97.074",1799.5,1.7995,97.074
2010-10-28,1799.5,"TP","2.823",1799.5,1.7995,2.823
2010-11-03,1715.4,"TN","86.569",1715.4,1.7154,86.569
2010-11-03,1715.4,"TP","0.4",1715.4,1.7154,0.4
2010-11-09,1292,"TN","93.439",1292,1.292,93.439
2010-11-09,1292,"TP","3.949",1292,1.292,3.949
2010-11-18,1696.8,"TN","155.03",1696.8,1.6968,155.03
2010-11-18,1696.8,"TP","4.774",1696.8,1.6968,4.774
2010-11-22,1579.5,"TN","64.082",1579.5,1.5795,64.082
2010-11-22,1579.5,"TP","3.87",1579.5,1.5795,3.87
2010-12-02,1866.9,"TN","100.922",1866.9,1.8669,100.922
2010-12-02,1866.9,"TP","2.416",1866.9,1.8669,2.416
2010-12-08,1253.1,"TN","87.107",1253.1,1.2531,87.107
2010-12-08,1253.1,"TP","1.748",1253.1,1.2531,1.748
2010-12-15,1252.5,"TN","57.75",1252.5,1.2525,57.75
2010-12-15,1252.5,"TP","3.517",1252.5,1.2525,3.517
2010-12-22,1248.3,"TN","56.723",1248.3,1.2483,56.723
2010-12-22,1248.3,"TP","4.254",1248.3,1.2483,4.254
2010-12-30,1455.4,"TN","68.424",1455.4,1.4554,68.424
2010-12-30,1455.4,"TP","4.496",1455.4,1.4554,4.496
2011-01-06,1402,"TN","132.777",1402,1.402,132.777
2011-01-06,1402,"TP","1.431",1402,1.402,1.431
2011-01-13,1820.2,"TN","76.029",1820.2,1.8202,76.029
2011-01-13,1820.2,"TP","1.431",1820.2,1.8202,1.431
2011-01-19,1065.9,"TN","39.757",1065.9,1.0659,39.757
2011-01-19,1065.9,"TP","5.412",1065.9,1.0659,5.412
2011-01-26,951.9,"TN","63.159",951.9,0.9519,63.159
2011-01-26,951.9,"TP","16.579",951.9,0.9519,16.579
2011-02-03,1154.4,"TN","85.39",1154.4,1.1544,85.39
2011-02-03,1154.4,"TP","2.957",1154.4,1.1544,2.957
2011-02-11,829.4,"TN","97.675",829.4,0.8294,97.675
2011-02-11,829.4,"TP","3.828",829.4,0.8294,3.828
2011-02-18,970.7,"TN","110.925",970.7,0.9707,110.925
2011-02-18,970.7,"TP","4.035",970.7,0.9707,4.035
2011-02-25,1031.8,"TN","133.106",1031.8,1.0318,133.106
2011-02-25,1031.8,"TP","3.994",1031.8,1.0318,3.994
2011-03-04,1447.1,"TN","60.566",1447.1,1.4471,60.566
2011-03-04,1447.1,"TP","0.4",1447.1,1.4471,0.4
2011-03-09,1232.1,"TN","83.947",1232.1,1.2321,83.947
2011-03-09,1232.1,"TP","0.68",1232.1,1.2321,0.68
2011-03-17,764.4,"TN","170.875",764.4,0.7644,170.875
2011-03-17,764.4,"TP","2.399",764.4,0.7644,2.399
2011-03-23,1210.6,"TN","126.512",1210.6,1.2106,126.512
2011-03-23,1210.6,"TP","3.094",1210.6,1.2106,3.094
2011-04-01,1064.6,"TN","155.537",1064.6,1.0646,155.537
2011-04-01,1064.6,"TP","2.285",1064.6,1.0646,2.285
2011-04-08,1294.1,"TN","95.632",1294.1,1.2941,95.632
2011-04-08,1294.1,"TP","2.561",1294.1,1.2941,2.561
2011-04-15,940.1,"TN","166.109",940.1,0.9401,166.109
2011-04-15,940.1,"TP","6.306",940.1,0.9401,6.306
2011-04-22,1255.8,"TN","219.554",1255.8,1.2558,219.554
2011-04-22,1255.8,"TP","4.217",1255.8,1.2558,4.217
2011-04-30,1582.5,"TN","148.489",1582.5,1.5825,148.489
2011-04-30,1582.5,"TP","5.202",1582.5,1.5825,5.202
2011-05-05,1450.4,"TN","171.982",1450.4,1.4504,171.982
2011-05-05,1450.4,"TP","6.227",1450.4,1.4504,6.227
2011-05-11,879.2,"TN","282.395",879.2,0.8792,282.395
2011-05-11,879.2,"TP","36.267",879.2,0.8792,36.267
2011-05-17,918.8,"TN","380.651",918.8,0.9188,380.651
2011-05-17,918.8,"TP","34.66",918.8,0.9188,34.66
2011-05-25,1039.9,"TN","287.599",1039.9,1.0399,287.599
2011-05-25,1039.9,"TP","16.508",1039.9,1.0399,16.508
2011-06-04,2066.1,"TN","309.838",2066.1,2.0661,309.838
2011-06-04,2066.1,"TP","8.539",2066.1,2.0661,8.539
2011-06-11,770.6,"TN","333.247",770.6,0.7706,333.247
2011-06-11,770.6,"TP","46.224",770.6,0.7706,46.224
2011-06-14,1824.3,"TN","144.802",1824.3,1.8243,144.802
2011-06-14,1824.3,"TP","18.093",1824.3,1.8243,18.093
2011-06-21,1556.1,"TN","250.209",1556.1,1.5561,250.209
2011-06-21,1556.1,"TP","12.026",1556.1,1.5561,12.026
2011-06-30,760.5,"TN","641.384",760.5,0.7605,641.384
2011-06-30,760.5,"TP","128.12",760.5,0.7605,128.12
2011-07-06,900.1,"TN","256.994",900.1,0.9001,256.994
2011-07-06,900.1,"TP","58.119",900.1,0.9001,58.119
2011-07-15,1121.5,"TN","487.059",1121.5,1.1215,487.059
2011-07-15,1121.5,"TP","52.75",1121.5,1.1215,52.75
2011-07-22,805.3,"TN","325.842",805.3,0.8053,325.842
2011-07-22,805.3,"TP","41.146",805.3,0.8053,41.146
2011-07-29,784.5,"TN","242.651",784.5,0.7845,242.651
2011-07-29,784.5,"TP","23.394",784.5,0.7845,23.394
2011-08-05,981.7,"TN","214.591",981.7,0.9817,214.591
2011-08-05,981.7,"TP","21.288",981.7,0.9817,21.288
2011-08-12,1071.8,"TN","220.029",1071.8,1.0718,220.029
2011-08-12,1071.8,"TP","22.99",1071.8,1.0718,22.99
2011-08-18,968.5,"TN","243.595",968.5,0.9685,243.595
2011-08-18,968.5,"TP","35.204",968.5,0.9685,35.204
2011-08-25,800.5,"TN","226.072",800.5,0.8005,226.072
2011-08-25,800.5,"TP","32.736",800.5,0.8005,32.736
2011-09-02,615.9,"TN","544.509",615.9,0.6159,544.509
2011-09-02,615.9,"TP","32.693",615.9,0.6159,32.693
2011-09-08,940.5,"TN","73.802",940.5,0.9405,73.802
2011-09-08,940.5,"TP","9.798",940.5,0.9405,9.798
2011-09-16,939.5,"TN","1163.19",939.5,0.9395,1163.19
2011-09-16,939.5,"TP","125.111",939.5,0.9395,125.111
2011-09-22,1404.6,"TN","114.891",1404.6,1.4046,114.891
2011-09-22,1404.6,"TP","4.418",1404.6,1.4046,4.418
2011-09-28,1136.1,"TN","108.323",1136.1,1.1361,108.323
2011-09-28,1136.1,"TP","14.014",1136.1,1.1361,14.014
2011-10-06,1430.3,"TN","315.866",1430.3,1.4303,315.866
2011-10-06,1430.3,"TP","30.684",1430.3,1.4303,30.684
2011-10-14,1750.9,"TN","101.874",1750.9,1.7509,101.874
2011-10-14,1750.9,"TP","4.712",1750.9,1.7509,4.712
2011-10-20,1899.6,"TN","9.242",1899.6,1.8996,9.242
2011-10-20,1899.6,"TP","0.4",1899.6,1.8996,0.4
2011-10-27,1234.5,"TN","213.854",1234.5,1.2345,213.854
2011-10-27,1234.5,"TP","24.962",1234.5,1.2345,24.962
2011-11-03,1058,"TN","49.109",1058,1.058,49.109
2011-11-03,1058,"TP","18.459",1058,1.058,18.459
2011-11-10,1456,"TN","141.741",1456,1.456,141.741
2011-11-10,1456,"TP","6.708",1456,1.456,6.708
2011-11-18,944.9,"TN","152.881",944.9,0.9449,152.881
2011-11-18,944.9,"TP","8.741",944.9,0.9449,8.741
2011-11-28,1006.4,"TN","175.746",1006.4,1.0064,175.746
2011-11-28,1006.4,"TP","14.599",1006.4,1.0064,14.599
2011-12-06,1227.3,"TN","75.95",1227.3,1.2273,75.95
2011-12-06,1227.3,"TP","1.527",1227.3,1.2273,1.527
2011-12-16,1034.9,"TN","212.405",1034.9,1.0349,212.405
2011-12-16,1034.9,"TP","3.219",1034.9,1.0349,3.219
2012-01-03,1099.9,"TN","206.367",1099.9,1.0999,206.367
2012-01-03,1099.9,"TP","8.411",1099.9,1.0999,8.411
2012-01-11,865.8,"TN","115.8",865.8,0.8658,115.8
2012-01-11,865.8,"TP","15.378",865.8,0.8658,15.378
2012-01-27,899.7,"TN","130.973",899.7,0.8997,130.973
2012-01-27,899.7,"TP","6.05",899.7,0.8997,6.05
2012-02-01,730.7,"TN","56.478",730.7,0.7307,56.478
2012-02-01,730.7,"TP","1.082",730.7,0.7307,1.082
2012-02-09,1028,"TN","89.288",1028,1.028,89.288
2012-02-09,1028,"TP","1.082",1028,1.028,1.082
2012-02-15,1212.2,"TN","140.347",1212.2,1.2122,140.347
2012-02-15,1212.2,"TP","1.65",1212.2,1.2122,1.65
2012-02-22,1359.2,"TN","94.1",1359.2,1.3592,94.1
2012-02-22,1359.2,"TP","0.798",1359.2,1.3592,0.798
2012-02-29,896.1,"TN","79.476",896.1,0.8961,79.476
2012-02-29,896.1,"TP","1.295",896.1,0.8961,1.295
2012-03-07,881.7,"TN","87.726",881.7,0.8817,87.726
2012-03-07,881.7,"TP","2.502",881.7,0.8817,2.502
2012-03-15,776.4,"TN","119.723",776.4,0.7764,119.723
2012-03-15,776.4,"TP","4.489",776.4,0.7764,4.489
2012-03-22,1510,"TN","113",1510,1.51,113
2012-03-22,1510,"TP","2.9",1510,1.51,2.9
2012-03-28,1180.5,"TN","121.9",1180.5,1.1805,121.9
2012-03-28,1180.5,"TP","3.2",1180.5,1.1805,3.2
2012-04-04,1001.2,"TN","84.6",1001.2,1.0012,84.6
2012-04-04,1001.2,"TP","2.3",1001.2,1.0012,2.3
2012-04-11,886.3,"TN","121.5",886.3,0.8863,121.5
2012-04-11,886.3,"TP","4.8",886.3,0.8863,4.8
2012-04-19,1043.7,"TN","380.6",1043.7,1.0437,380.6
2012-04-19,1043.7,"TP","15.4",1043.7,1.0437,15.4
